공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),전임교원수(학부+대학원),법정부담금기준액,법정부담금부담액,부담율
2025,0000050,0000050,감리교신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,192,564,170,24,512761750,512761750,100
2025,0000079,0000079,강서대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,277,1742,504,54,580460660,350000000,60.3
2025,0000052,0000052,건국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3000,15960,3410,657,8501630030,3431189000,40.4
2025,0000066,0000066,경희대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4873,25573,5776,1395,20855588308,13164628500,63.1
2025,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4142,21772,4206,1601,24163041362,15021260780,62.2
2025,0000074,0000074,광운대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1823,8414,1970,307,5044274112,225000000,4.5
2025,0000078,0000078,국민대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2966,14502,3301,651,8545799808,2508000000,29.3
2025,0000099,0000099,덕성여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1215,5566,1203,197,2953722190,2953873000,100
2025,0000100,0000100,동국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2836,13841,2987,686,9793340414,5915000000,60.4
2025,0000102,0000102,동덕여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1577,6392,1634,214,3111042490,320000000,10.3
2025,0000116,0000116,삼육대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1157,5268,1284,190,3097089849,1766114440,57
2025,0000117,0000117,상명대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1302,6267,1393,246,6378584472,900000000,14.1
2025,0000120,0000120,서강대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1602,8429,1736,410,7220880416,500000000,6.9
2025,0000121,0000121,서경대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1309,6864,1457,250,2887684200,1032112000,35.7
2025,0000098,0000098,서울기독대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,136,1279,65,37,290586340,56000000,19.3
2025,0000126,0000126,서울여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1612,7692,1367,224,3554146100,250000000,7
2025,0000205,0000205,서울한영대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,180,778,136,27,392954690,151300000,38.5
2025,0000132,0000132,성공회대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,502,2234,444,80,1298975220,33003000,2.5
2025,0000133,0000133,성균관대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3555,19613,4256,1543,14429051320,14437000000,100.1
2025,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2060,9404,1939,324,4583499460,1340000000,29.2
2025,0000138,0000138,세종대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2564,13171,2616,590,7442403295,900000000,12.1
2025,0000141,0000141,숙명여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2160,10134,2336,419,6987485284,250000000,3.6
2025,0000143,0000143,숭실대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2675,14738,3021,528,6873001870,600000000,8.7
2025,0000149,0000149,연세대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3555,21005,4461,1820,30184310681,31260690002,103.6
