기준년도,학교명,부담율
2011,가야대학교,5.2
2011,가천대학교,10.1
2011,가톨릭대학교,104.8
2011,감리교신학대학교,101.7
2011,강남대학교,27.2
2011,강서대학교,100.0
2011,건국대학교,100.0
2011,건동대학교,91.5
2011,건양대학교,100.2
2011,경기대학교,0.0
2011,경남대학교,92.8
2011,경동대학교,100.0
2011,경북외국어대학교,104.2
2011,경성대학교,28.0
2011,경운대학교,9.5
2011,경일대학교,7.8
2011,경주대학교,5.3
2011,경희대학교,100.0
2011,경희사이버대학교,26.6
2011,계명대학교,59.6
2011,고려대학교,40.2
2011,고려사이버대학교,0.0
2011,고신대학교,107.4
2011,관동대학교,0.0
2011,광신대학교,102.7
2011,광운대학교,0.0
2011,광주가톨릭대학교,100.0
2011,광주대학교,35.9
2011,광주여자대학교,1.8
2011,국민대학교,19.2
2011,국제사이버대학교,0.0
2011,극동대학교,6.8
2011,글로벌사이버대학교,104.7
2011,금강대학교,97.8
2011,김천대학교,99.8
2011,꽃동네대학교,100.3
2011,나사렛대학교,2.3
2011,남부대학교,100.0
2011,남서울대학교,30.8
2011,단국대학교,6.6
2011,대구가톨릭대학교,99.7
2011,대구대학교,0.2
2011,대구사이버대학교,1.3
2011,대구예술대학교,60.7
2011,대구외국어대학교,30.8
2011,대구한의대학교,1.8
2011,대신대학교,22.3
2011,대전가톨릭대학교,104.7
2011,대전대학교,110.2
2011,대전신학대학교,96.2
2011,대진대학교,141.5
2011,덕성여자대학교,100.0
2011,동국대학교,24.2
2011,동덕여자대학교,10.5
2011,동명대학교,10.4
2011,동서대학교,19.7
2011,동신대학교,100.0
2011,동아대학교,14.1
2011,동양대학교,21.0
2011,동의대학교,27.7
2011,디지털서울문화예술대학교,0.0
2011,루터대학교,100.2
2011,명지대학교,0.0
2011,목원대학교,43.7
2011,목포가톨릭대학교,24.5
2011,배재대학교,2.9
2011,백석대학교,13.1
2011,부산가톨릭대학교,13.5
2011,부산디지털대학교,20.0
2011,부산외국어대학교,10.0
2011,부산장신대학교,80.5
2011,사이버한국외국어대학교,0.0
2011,삼육대학교,7.2
2011,상명대학교,11.1
2011,상지대학교,0.0
2011,서강대학교,2.5
2011,서경대학교,67.9
2011,서남대학교,100.0
2011,서울기독대학교,67.9
2011,서울디지털대학교,21.1
2011,서울사이버대학교,105.2
2011,서울신학대학교,48.2
2011,서울여자대학교,1.5
2011,서울장신대학교,101.2
2011,서울한영대학교,100.0
2011,서원대학교,71.1
2011,선문대학교,81.3
2011,성결대학교,0.0
2011,성공회대학교,5.6
2011,성균관대학교,98.4
2011,성신여자대학교,0.4
2011,세명대학교,3.0
2011,세종대학교,30.3
2011,세종사이버대학교,100.8
2011,세한대학교,102.2
2011,송원대학교,20.3
2011,수원가톨릭대학교,99.0
2011,수원대학교,11.0
2011,숙명여자대학교,0.0
2011,순복음총회신학교,0.0
2011,순천향대학교,100.5
2011,숭실대학교,4.7
2011,숭실사이버대학교,19.5
2011,신경대학교,100.0
2011,신라대학교,11.3
2011,아세아연합신학대학교,87.8
2011,아주대학교,57.2
2011,안양대학교,5.7
2011,연세대학교,83.5
2011,열린사이버대학교,0.0
2011,영남대학교,16.3
2011,영남신학대학교,100.0
2011,영동대학교,22.9
2011,영산대학교,100.2
2011,영산선학대학교,99.7
2011,예수대학교,44.2
2011,예원예술대학교,107.8
2011,용인대학교,5.4
2011,우석대학교,33.4
2011,우송대학교,80.5
