기준년도,학교명,본분교명,전임교원 확보율(학생정원 기준),전임교원 확보율(재학생 기준)
2008,가야대학교,본교,14.29,0.0
2008,가천의과학대학교,본교,122.55,0.0
2008,가톨릭대학교,본교,50.27,0.0
2008,감리교신학대학교,본교,47.89,0.0
2008,강남대학교,본교,62.85,0.0
2008,강서대학교,본교,59.09,0.0
2008,건국대학교,본교,61.4,0.0
2008,건동대학교,본교,58.93,0.0
2008,건양대학교,본교,55.29,0.0
2008,경기대학교,본교,55.27,0.0
2008,경남대학교,본교,46.2,0.0
2008,경동대학교,본교,43.59,0.0
2008,경북외국어대학교,본교,87.5,0.0
2008,경성대학교,본교,49.46,0.0
2008,경운대학교,본교,48.79,0.0
2008,경원대학교,본교,65.58,0.0
2008,경일대학교,본교,71.38,0.0
2008,경주대학교,본교,48.15,0.0
2008,경희대학교,본교,74.31,0.0
2008,계명대학교,본교,56.23,0.0
2008,고려대학교,본교,87.14,0.0
2008,고신대학교,본교,76.41,0.0
2008,관동대학교,본교,74.9,0.0
2008,광신대학교,본교,69.64,0.0
2008,광운대학교,본교,59.58,0.0
2008,광주가톨릭대학교,본교,154.55,0.0
2008,광주대학교,본교,80.65,0.0
2008,광주대학교(산업대),본교,0.0,0.0
2008,광주여자대학교,본교,43.0,0.0
2008,국민대학교,본교,59.82,0.0
2008,극동대학교,본교,33.65,0.0
2008,금강대학교,본교,111.11,0.0
2008,꽃동네현도사회복지대학교,본교,70.37,0.0
2008,나사렛대학교,본교,61.45,0.0
2008,남부대학교,본교,42.05,0.0
2008,남서울대학교,본교,45.44,0.0
2008,단국대학교,본교,44.93,0.0
2008,대구가톨릭대학교,본교,42.22,0.0
2008,대구대학교,본교,44.69,0.0
2008,대구예술대학교,본교,34.0,0.0
2008,대구외국어대학교,본교,54.55,0.0
2008,대구한의대학교,본교,45.77,0.0
2008,대불대학교,본교,37.8,0.0
2008,대신대학교,본교,82.93,0.0
2008,대전가톨릭대학교,본교,120.0,0.0
2008,대전대학교,본교,45.36,0.0
2008,대전신학교,본교,55.0,0.0
2008,대진대학교,본교,59.95,0.0
2008,덕성여자대학교,본교,59.85,0.0
2008,동국대학교,본교,63.68,0.0
2008,동덕여자대학교,본교,55.93,0.0
2008,동명대학교,본교,59.12,0.0
2008,동명정보대학교,본교,0.0,0.0
2008,동서대학교,본교,59.57,0.0
2008,동신대학교,본교,62.08,0.0
2008,동아대학교,본교,55.5,0.0
2008,동양대학교,본교,45.92,0.0
2008,동원산업대학교,본교,0.0,0.0
2008,동의대학교,본교,54.47,0.0
2008,루터대학교,본교,65.38,0.0
2008,명신대학교,본교,97.73,0.0
2008,명지대학교,본교,71.71,0.0
2008,목원대학교,본교,51.54,0.0
2008,목포가톨릭대학교,본교,57.69,0.0
2008,배재대학교,본교,60.0,0.0
2008,백석대학교,본교,50.0,0.0
2008,부산가톨릭대학교,본교,48.44,0.0
2008,부산외국어대학교,본교,57.58,0.0
2008,부산장신대학교,본교,73.91,0.0
2008,삼육대학교,본교,64.66,0.0
2008,상명대학교,본교,45.66,0.0
2008,상지대학교,본교,54.97,0.0
2008,서강대학교,본교,62.65,0.0
