기준년도,학교명,본분교명,졸업생_진로_성과
2008,가야대학교,본교,81.7
2008,가천의과학대학교,본교,75.6
2008,가톨릭대학교,본교,64.4
2008,감리교신학대학교,본교,57.1
2008,강남대학교,본교,75.4
2008,강서대학교,본교,65.1
2008,건국대학교,본교,74.7
2008,건양대학교,본교,90.9
2008,경기대학교,본교,63.4
2008,경남대학교,본교,66.5
2008,경동대학교,본교,94.6
2008,경성대학교,본교,69.8
2008,경운대학교,본교,85.5
2008,경원대학교,본교,71.6
2008,경일대학교,본교,73.3
2008,경주대학교,본교,66.7
2008,경희대학교,본교,84.0
2008,계명대학교,본교,66.5
2008,고려대학교,본교,82.5
2008,고신대학교,본교,81.9
2008,관동대학교,본교,74.1
2008,광신대학교,본교,77.0
2008,광운대학교,본교,73.3
2008,광주가톨릭대학교,본교,100.0
2008,광주대학교,본교,71.8
2008,광주대학교(산업대),본교,69.9
2008,광주여자대학교,본교,74.5
2008,국민대학교,본교,70.5
2008,극동대학교,본교,82.2
2008,금강대학교,본교,43.5
2008,꽃동네현도사회복지대학교,본교,62.9
2008,나사렛대학교,본교,81.1
2008,남부대학교,본교,91.1
2008,남서울대학교,본교,75.1
2008,단국대학교,본교,56.0
2008,대구가톨릭대학교,본교,64.4
2008,대구대학교,본교,68.8
2008,대구예술대학교,본교,70.9
2008,대구외국어대학교,본교,47.7
2008,대구한의대학교,본교,78.2
2008,대불대학교,본교,73.4
2008,대신대학교,본교,66.0
2008,대전가톨릭대학교,본교,97.1
2008,대전대학교,본교,76.5
2008,대전신학교,본교,73.0
2008,대진대학교,본교,65.6
2008,덕성여자대학교,본교,69.7
2008,동국대학교,본교,74.7
2008,동덕여자대학교,본교,49.2
2008,동명대학교,본교,73.5
2008,동명정보대학교,본교,73.5
2008,동서대학교,본교,82.8
2008,동신대학교,본교,74.3
2008,동아대학교,본교,66.7
2008,동양대학교,본교,76.6
2008,동의대학교,본교,74.7
2008,루터대학교,본교,50.0
2008,명신대학교,본교,67.1
2008,명지대학교,본교,72.2
2008,목원대학교,본교,68.3
2008,목포가톨릭대학교,본교,87.1
2008,배재대학교,본교,77.0
2008,백석대학교,본교,74.2
2008,부산가톨릭대학교,본교,75.3
2008,부산외국어대학교,본교,64.3
2008,부산장신대학교,본교,65.0
2008,삼육대학교,본교,77.3
2008,상명대학교,본교,68.6
2008,상지대학교,본교,81.9
2008,서강대학교,본교,79.2
2008,서경대학교,본교,58.4
2008,서남대학교,본교,78.2
2008,서울기독대학교,본교,68.4
2008,서울신학대학교,본교,70.0
2008,서울여자대학교,본교,70.0
2008,서울장로회신학교,본교,100.0
2008,서울장신대학교,본교,78.0
2008,서울한영대학교,본교,71.4
2008,서원대학교,본교,67.7
2008,선교청대학교,본교,75.0
2008,선문대학교,본교,75.2
2008,성결대학교,본교,66.7
2008,성공회대학교,본교,54.4
2008,성균관대학교,본교,70.0
2008,성신여자대학교,본교,66.3
2008,세명대학교,본교,91.3
2008,세종대학교,본교,57.6
2008,수도침례신학교,본교,100.0
2008,수원가톨릭대학교,본교,100.0
2008,수원대학교,본교,67.6
2008,숙명여자대학교,본교,76.8
2008,순천향대학교,본교,77.8
2008,숭실대학교,본교,72.1
2008,신라대학교,본교,73.9
2008,아세아연합신학대학교,본교,30.4
2008,아주대학교,본교,72.2
2008,안양대학교,본교,71.1
2008,연세대학교,본교,77.7
2008,영남대학교,본교,67.0
2008,영남신학대학교,본교,75.3
2008,영동대학교,본교,67.9
2008,영산대학교,본교,79.8
2008,영산선학대학교,본교,100.0
2008,예수대학교,본교,89.6
2008,예원예술대학교,본교,81.9
2008,용인대학교,본교,76.9
2008,우석대학교,본교,84.9
2008,우송대학교,본교,84.4
2008,울산대학교,본교,75.7
2008,원광대학교,본교,74.9
2008,위덕대학교,본교,69.0
2008,을지대학교,본교,89.7
2008,이화여자대학교,본교,79.2
2008,인제대학교,본교,81.8
2008,인천가톨릭대학교,본교,68.0
2008,인하대학교,본교,79.5
2008,장로회신학대학교,본교,91.6
2008,전주대학교,본교,85.2
2008,조선대학교,본교,65.0
2008,중부대학교,본교,79.1
2008,중앙대학교,본교,78.9
2008,중앙승가대학교,본교,100.0
2008,차의과학대학교,본교,88.7
2008,청운대학교,본교,92.1
2008,청주대학교,본교,78.2
2008,초당대학교,본교,90.5
2008,총신대학교,본교,60.0
2008,추계예술대학교,본교,48.4
2008,침례신학대학교,본교,74.1
2008,칼빈대학교,본교,79.3
2008,탐라대학교,본교,55.4
2008,평택대학교,본교,83.2
2008,포항공과대학교,본교,94.0
2008,한국국제대학교,본교,82.0
2008,한국기술교육대학교,본교,95.8
2008,한국산업기술대학교,본교,97.3
2008,한국성서대학교,본교,90.8
2008,한국외국어대학교,본교,75.8
2008,한국정보통신대학교,본교,93.8
2008,한국항공대학교,본교,79.6
2008,한남대학교,본교,73.7
2008,한동대학교,본교,73.1
2008,한라대학교,본교,85.4
2008,한려대학교(산업대),본교,61.3
2008,한림대학교,본교,73.8
2008,한민학교,본교,72.2
2008,한북대학교,본교,100.0
2008,한서대학교,본교,79.9
2008,한성대학교,본교,74.1
2008,한세대학교,본교,56.5
2008,한신대학교,본교,54.1
2008,한양대학교,본교,78.7
2008,한일장신대학교,본교,69.3
2008,한중대학교,본교,80.4
2008,협성대학교,본교,65.6
2008,호남대학교,본교,73.4
2008,호남신학대학교,본교,64.7
2008,호서대학교,본교,75.3
2008,호원대학교,본교,77.3
2008,홍익대학교,본교,74.9
2009,가야대학교,본교,83.7
2009,가천의과학대학교,본교,66.7
2009,가톨릭대학교,본교,64.7
2009,감리교신학대학교,본교,73.0
2009,강남대학교,본교,73.0
2009,강서대학교,본교,51.9
2009,건국대학교,본교,61.4
2009,건양대학교,본교,88.2
2009,경기대학교,본교,62.5
2009,경남대학교,본교,69.3
2009,경동대학교,본교,92.7
2009,경북외국어대학교,본교,76.1
2009,경성대학교,본교,69.6
2009,경운대학교,본교,86.5
2009,경원대학교,본교,72.5
2009,경일대학교,본교,69.2
2009,경주대학교,본교,57.1
2009,경희대학교,본교,80.4
2009,계명대학교,본교,69.4
2009,고려대학교,본교,80.6
2009,고신대학교,본교,84.3
2009,관동대학교,본교,71.1
2009,광신대학교,본교,78.5
2009,광운대학교,본교,75.4
2009,광주가톨릭대학교,본교,100.0
2009,광주대학교,본교,80.2
2009,광주대학교(산업대),본교,67.7
2009,광주여자대학교,본교,77.6
2009,국민대학교,본교,71.1
2009,극동대학교,본교,76.7
2009,금강대학교,본교,75.8
2009,꽃동네현도사회복지대학교,본교,51.8
2009,나사렛대학교,본교,78.1
2009,남부대학교,본교,92.0
2009,남서울대학교,본교,75.6
2009,단국대학교,본교,66.7
2009,대구가톨릭대학교,본교,69.2
2009,대구대학교,본교,63.1
2009,대구예술대학교,본교,76.3
2009,대구외국어대학교,본교,74.5
2009,대구한의대학교,본교,70.3
2009,대불대학교,본교,71.4
2009,대신대학교,본교,73.3
2009,대전가톨릭대학교,본교,100.0
2009,대전대학교,본교,74.4
2009,대전신학교,본교,60.4
2009,대진대학교,본교,65.5
2009,덕성여자대학교,본교,71.1
2009,동국대학교,본교,71.7
2009,동덕여자대학교,본교,44.9
2009,동명대학교,본교,72.1
2009,동서대학교,본교,77.6
2009,동신대학교,본교,85.3
2009,동아대학교,본교,73.1
2009,동양대학교,본교,64.6
2009,동의대학교,본교,66.5
2009,루터대학교,본교,51.5
2009,명신대학교,본교,71.4
2009,명지대학교,본교,72.1
2009,목원대학교,본교,70.2
2009,목포가톨릭대학교,본교,94.6
2009,배재대학교,본교,76.5
2009,백석대학교,본교,74.0
2009,부산가톨릭대학교,본교,69.1
2009,부산외국어대학교,본교,67.2
2009,부산장신대학교,본교,73.2
2009,삼육대학교,본교,76.3
2009,상명대학교,본교,59.6
2009,상지대학교,본교,82.9
2009,서강대학교,본교,77.1
2009,서경대학교,본교,65.8
2009,서남대학교,본교,85.7
2009,서울기독대학교,본교,74.4
2009,서울신학대학교,본교,65.9
2009,서울여자대학교,본교,72.1
2009,서울장신대학교,본교,64.4
2009,서울한영대학교,본교,66.1
2009,서원대학교,본교,61.3
2009,선교청대학교,본교,50.0
2009,선문대학교,본교,68.2
2009,성결대학교,본교,65.4
2009,성공회대학교,본교,55.5
2009,성균관대학교,본교,69.5
2009,성신여자대학교,본교,66.4
2009,세명대학교,본교,84.6
2009,세종대학교,본교,55.5
2009,수도침례신학교,본교,71.4
2009,수원가톨릭대학교,본교,100.0
2009,수원대학교,본교,55.5
2009,숙명여자대학교,본교,76.3
2009,순천향대학교,본교,71.3
2009,숭실대학교,본교,66.2
2009,신경대학교,본교,100.0
2009,신라대학교,본교,77.7
2009,아세아연합신학대학교,본교,64.1
2009,아주대학교,본교,78.1
2009,안양대학교,본교,63.4
2009,연세대학교,본교,78.0
2009,영남대학교,본교,68.1
2009,영남신학대학교,본교,52.6
2009,영동대학교,본교,74.9
2009,영산대학교,본교,80.0
2009,영산선학대학교,본교,90.9
2009,예수대학교,본교,92.0
2009,예원예술대학교,본교,87.1
2009,용인대학교,본교,72.8
2009,우석대학교,본교,83.1
2009,우송대학교,본교,81.2
2009,울산대학교,본교,77.2
2009,원광대학교,본교,73.7
2009,위덕대학교,본교,75.4
2009,을지대학교,본교,94.7
2009,이화여자대학교,본교,75.4
2009,인제대학교,본교,81.2
2009,인천가톨릭대학교,본교,68.9
2009,인하대학교,본교,73.6
2009,장로회신학대학교,본교,70.5
2009,전주대학교,본교,73.5
2009,조선대학교,본교,65.6
2009,중부대학교,본교,81.0
2009,중앙대학교,본교,72.7
2009,중앙승가대학교,본교,100.0
2009,차의과학대학교,본교,90.1
2009,청운대학교,본교,84.0
2009,청주대학교,본교,76.5
2009,초당대학교,본교,86.3
2009,총신대학교,본교,53.2
2009,추계예술대학교,본교,35.7
