기준년도,학교명,지급인원수,총강의시간수,지급단가구간수,연도별기준값,기준충족,강사강의료
2023,강서대학교,59,3174.0,3,50600.0,True,54164.0
2023,건국대학교,479,19001.6,4,50600.0,True,52120.0
2023,경희대학교,1450,58085.5,9,50600.0,True,50940.0
2023,고려대학교,837,39587.0,9,50600.0,True,59003.0
2023,광운대학교,293,12885.0,6,50600.0,False,50010.0
2023,국민대학교,510,17830.5,4,50600.0,True,54938.0
2023,덕성여자대학교,208,8835.0,4,50600.0,True,58100.0
2023,동국대학교,833,32068.0,7,50600.0,True,55314.0
2023,동덕여자대학교,310,10332.7,6,50600.0,True,56279.0
2023,삼육대학교,337,11557.5,5,50600.0,True,53765.0
2023,상명대학교,267,6248.0,4,50600.0,True,53246.0
2023,서강대학교,247,11408.0,2,50600.0,True,60126.0
2023,서경대학교,302,10515.0,3,50600.0,True,54700.0
2023,서울기독대학교,91,2380.5,4,50600.0,False,49938.0
2023,서울여자대학교,209,7533.0,6,50600.0,True,54838.0
2023,서울한영대학교,2,75.0,1,50600.0,True,55000.0
2023,성공회대학교,93,4016.0,1,50600.0,True,61200.0
2023,성균관대학교,293,12256.5,2,50600.0,True,67534.0
2023,성신여자대학교,858,28186.5,5,50600.0,True,54357.0
2023,세종대학교,530,18668.0,1,50600.0,True,54000.0
2023,숙명여자대학교,590,20148.0,3,50600.0,True,53563.0
2023,숭실대학교,361,24168.0,3,50600.0,True,55189.0
2023,연세대학교,1168,48669.0,9,50600.0,True,67393.0
2023,이화여자대학교,1037,35981.5,4,50600.0,True,58356.0
2023,장로회신학대학교,280,4200.0,2,50600.0,True,56307.0
2023,중앙대학교,647,27013.5,28,50600.0,True,57868.0
2023,총신대학교,73,3217.5,1,50600.0,False,50000.0
2023,추계예술대학교,412,11955.0,3,50600.0,False,48490.0
2023,한국성서대학교,56,1945.5,1,50600.0,True,58000.0
2023,한국외국어대학교,1149,38946.0,7,50600.0,True,52013.0
2023,한성대학교,256,14513.3,3,50600.0,True,54369.0
2023,한양대학교,499,16412.0,5,50600.0,True,53678.0
2023,홍익대학교,265,8775.0,45,50600.0,True,56541.0
2024,강서대학교,56,2733.0,3,51800.0,True,55381.0
2024,건국대학교,453,17571.2,5,51800.0,True,52081.0
2024,경희대학교,1464,57735.7,7,51800.0,False,51170.0
2024,고려대학교,936,41986.0,9,51800.0,True,58842.0
2024,광운대학교,294,13020.0,5,51800.0,True,54823.0
2024,국민대학교,577,20505.0,7,51800.0,True,55260.0
2024,덕성여자대학교,215,9262.5,4,51800.0,True,57848.0
2024,동국대학교,782,30164.0,8,51800.0,True,55374.0
2024,동덕여자대학교,323,11415.0,6,51800.0,True,56404.0
2024,삼육대학교,334,11460.0,5,51800.0,True,53846.0
2024,상명대학교,130,5227.5,5,51800.0,True,53202.0
2024,서강대학교,257,11918.4,3,51800.0,True,60142.0
2024,서경대학교,303,10515.0,3,51800.0,True,54773.0
2024,서울기독대학교,85,2392.5,4,51800.0,False,50295.0
2024,서울여자대학교,268,9816.0,7,51800.0,True,54049.0
2024,서울한영대학교,1,60.0,1,51800.0,False,51000.0
2024,성공회대학교,99,4376.0,1,51800.0,True,61200.0
2024,성균관대학교,353,15439.0,1,51800.0,True,69000.0
2024,성신여자대학교,845,28812.0,5,51800.0,True,54490.0
2024,세종대학교,526,18482.0,1,51800.0,True,54000.0
2024,숙명여자대학교,641,21935.1,3,51800.0,True,53737.0
2024,숭실대학교,652,26696.0,3,51800.0,True,55321.0
2024,연세대학교,1136,47511.0,8,51800.0,True,67015.0
2024,이화여자대학교,1129,37697.3,3,51800.0,True,58191.0
2024,장로회신학대학교,308,5107.5,2,51800.0,True,56905.0
2024,중앙대학교,632,26392.0,29,51800.0,True,60168.0
2024,총신대학교,83,3630.0,1,51800.0,True,53000.0
2024,추계예술대학교,234,11745.0,3,51800.0,False,48993.0
2024,한국성서대학교,47,1455.0,1,51800.0,True,58000.0
2024,한국외국어대학교,1143,37767.0,9,51800.0,True,51943.0
2024,한성대학교,263,14692.5,3,51800.0,True,54467.0
2024,한양대학교,583,18547.0,6,51800.0,True,53692.0
2024,홍익대학교,209,7320.0,47,51800.0,True,58258.0
2025,강서대학교,73,3489.0,4,53100.0,True,55003.0
2025,건국대학교,475,1169.7,3,53100.0,True,53327.0
2025,경희대학교,1570,59265.1,9,53100.0,True,59263.0
2025,고려대학교,926,42918.0,11,53100.0,True,59055.0
2025,광운대학교,257,11250.0,7,53100.0,True,55059.0
2025,국민대학교,598,21240.0,5,53100.0,True,55384.0
2025,덕성여자대학교,282,11411.8,5,53100.0,True,58477.0
2025,동국대학교,849,32905.4,6,53100.0,True,55840.0
2025,동덕여자대학교,338,12165.0,7,53100.0,True,56929.0
2025,삼육대학교,354,12810.0,8,53100.0,True,53910.0
2025,상명대학교,148,5659.5,5,53100.0,True,53168.0
2025,서강대학교,259,11998.4,3,53100.0,True,60081.0
2025,서경대학교,276,9180.0,3,53100.0,True,54424.0
2025,서울기독대학교,92,2643.0,4,53100.0,True,56745.0
2025,서울여자대학교,266,9475.0,9,53100.0,True,54528.0
2025,서울한영대학교,3,135.0,1,53100.0,True,53100.0
2025,성공회대학교,108,4800.0,1,53100.0,True,61200.0
2025,성균관대학교,347,14942.7,1,53100.0,True,69000.0
2025,성신여자대학교,780,25634.1,7,53100.0,True,54439.0
2025,세종대학교,509,18056.0,1,53100.0,True,54000.0
2025,숙명여자대학교,671,23294.2,4,53100.0,True,53231.0
2025,숭실대학교,396,26560.5,4,53100.0,True,55657.0
2025,연세대학교,1140,46664.0,8,53100.0,True,66263.0
2025,이화여자대학교,1162,41100.6,3,53100.0,True,58184.0
2025,장로회신학대학교,277,4657.4,2,53100.0,True,56921.0
2025,중앙대학교,660,28420.9,29,53100.0,True,60168.0
2025,총신대학교,89,4020.0,1,53100.0,True,55000.0
2025,추계예술대학교,951,12150.0,3,53100.0,False,51728.0
2025,한국성서대학교,42,1290.0,1,53100.0,True,58000.0
2025,한국외국어대학교,1144,39480.0,10,53100.0,True,53252.0
2025,한성대학교,228,12916.5,3,53100.0,True,54502.0
2025,한양대학교,594,17923.5,6,53100.0,True,54233.0
2025,홍익대학교,196,6450.0,43,53100.0,True,59232.0
