기준년도,학교명,본분교명,설립유형,"전임교원1인당논문실적(국내, 연구재단등재지(후보포함))","전임교원1인당논문실적(국제, SCI급/SCOPUS학술지)"
2007,가야대학교,본교,사립,0.25,0.0
2007,가천의과학대학교,본교,사립,0.1729,0.0726
2007,가톨릭대학교,본교,사립,0.7297,0.1417
2007,감리교신학대학교,본교,사립,0.2059,0.0
2007,강남대학교,본교,사립,0.627,0.0366
2007,강서대학교,본교,사립,0.1846,0.0
2007,건국대학교,본교,사립,0.5488,0.3088
2007,건동대학교,본교,사립,0.2394,0.0424
2007,건양대학교,본교,사립,0.5218,0.0282
2007,경기대학교,본교,사립,0.634,0.0547
2007,경남대학교,본교,사립,0.689,0.0973
2007,경동대학교,본교,사립,0.2824,0.0
2007,경북외국어대학교,본교,사립,0.0,0.0
2007,경성대학교,본교,사립,0.7028,0.0688
2007,경운대학교,본교,사립,0.2616,0.025
2007,경원대학교,본교,사립,0.5948,0.101
2007,경일대학교,본교,사립,0.2813,0.0333
2007,경주대학교,본교,사립,0.5346,0.0215
2007,경희대학교,본교,사립,0.5492,0.2
2007,경희사이버대학교,본교,사립,0.6091,0.0091
2007,계명대학교,본교,사립,0.381,0.0637
2007,고려대학교,본교,사립,0.5634,0.6593
2007,고려사이버대학교,본교,사립,0.5081,0.0
2007,고신대학교,본교,사립,0.2904,0.0296
2007,관동대학교,본교,사립,0.1364,0.0488
2007,광신대학교,본교,사립,0.0,0.0
2007,광운대학교,본교,사립,0.738,0.3865
2007,광주가톨릭대학교,본교,사립,0.1176,0.0
2007,광주대학교,본교,사립,0.244,0.0253
2007,광주여자대학교,본교,사립,0.3652,0.0
2007,국민대학교,본교,사립,0.5967,0.2267
2007,국제사이버대학교,본교,사립,0.2308,0.0
2007,극동대학교,본교,사립,0.2761,0.0169
2007,금강대학교,본교,사립,0.69,0.0
2007,꽃동네현도사회복지대학교,본교,사립,0.8263,0.0
2007,나사렛대학교,본교,사립,0.3,0.0046
2007,남부대학교,본교,사립,0.3902,0.0491
2007,남서울대학교,본교,사립,0.9155,0.0087
2007,단국대학교,본교,사립,0.6866,0.139
2007,대구가톨릭대학교,본교,사립,0.6857,0.1584
2007,대구대학교,본교,사립,0.7995,0.1005
2007,대구사이버대학교,본교,사립,0.4765,0.0294
2007,대구예술대학교,본교,사립,0.2156,0.0
2007,대구외국어대학교,본교,사립,0.0,0.0
2007,대구한의대학교,본교,사립,0.6266,0.0544
2007,대불대학교,본교,사립,0.2364,0.06
2007,대신대학교,본교,사립,0.2206,0.0
2007,대전가톨릭대학교,본교,사립,0.0,0.0
2007,대전대학교,본교,사립,0.4008,0.0309
2007,대전신학교,본교,사립,0.4545,0.0
