기준년도,학교명,본분교명,설립유형,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2007,가야대학교,본교,사립,5500.0,2500.0
2007,가천의과학대학교,본교,사립,792.0,17806.0
2007,가톨릭대학교,본교,사립,6763.1,29032.8
2007,감리교신학대학교,본교,사립,0.0,176.5
2007,강남대학교,본교,사립,1765.0,9028.9
2007,강서대학교,본교,사립,706.9,2051.3
2007,건국대학교,본교,사립,21156.0,103178.1
2007,건동대학교,본교,사립,3848.5,18731.7
2007,건양대학교,본교,사립,201.0,14075.6
2007,경기대학교,본교,사립,6865.9,23375.8
2007,경남대학교,본교,사립,4235.3,31767.4
2007,경동대학교,본교,사립,294.1,29805.5
2007,경북외국어대학교,본교,사립,0.0,7619.0
2007,경성대학교,본교,사립,2572.5,13802.5
2007,경운대학교,본교,사립,159.6,2463.8
2007,경원대학교,본교,사립,6694.6,41844.7
2007,경일대학교,본교,사립,1671.9,9534.6
2007,경주대학교,본교,사립,211.5,11297.7
2007,경희대학교,본교,사립,8566.0,36659.8
2007,경희사이버대학교,본교,사립,1816.6,1745.5
2007,계명대학교,본교,사립,2848.8,22621.7
2007,고려대학교,본교,사립,4876.5,82861.4
2007,고려사이버대학교,본교,사립,0.0,797.8
2007,고신대학교,본교,사립,398.3,1212.7
2007,관동대학교,본교,사립,180.5,9261.4
2007,광신대학교,본교,사립,769.2,0.0
2007,광운대학교,본교,사립,7180.4,76873.8
2007,광주가톨릭대학교,본교,사립,0.0,0.0
2007,광주대학교,본교,사립,1284.8,12827.5
2007,광주여자대학교,본교,사립,2175.8,5304.2
2007,국민대학교,본교,사립,4983.8,52529.5
2007,국제사이버대학교,본교,사립,0.0,0.0
2007,극동대학교,본교,사립,416.6,7318.6
2007,금강대학교,본교,사립,7240.3,3560.4
2007,꽃동네현도사회복지대학교,본교,사립,1868.4,5829.9
2007,나사렛대학교,본교,사립,1373.7,2248.3
2007,남부대학교,본교,사립,0.0,14563.2
2007,남서울대학교,본교,사립,1178.1,18020.7
2007,단국대학교,본교,사립,1671.5,27773.0
2007,대구가톨릭대학교,본교,사립,1302.0,25703.9
2007,대구대학교,본교,사립,2956.3,10911.1
2007,대구사이버대학교,본교,사립,0.0,2441.2
2007,대구예술대학교,본교,사립,44.1,735.3
2007,대구외국어대학교,본교,사립,0.0,0.0
2007,대구한의대학교,본교,사립,2800.6,24547.5
2007,대불대학교,본교,사립,90.9,4016.7
2007,대신대학교,본교,사립,58.8,117.6
2007,대전가톨릭대학교,본교,사립,0.0,0.0
2007,대전대학교,본교,사립,1510.4,18440.7
2007,대전신학교,본교,사립,0.0,0.0
2007,대진대학교,본교,사립,2348.9,9458.5
2007,덕성여자대학교,본교,사립,10953.2,24938.4
2007,동국대학교,본교,사립,9674.6,62495.8
2007,동덕여자대학교,본교,사립,1387.1,4676.9
2007,동명대학교,본교,사립,140.6,14379.6
2007,동서대학교,본교,사립,6493.1,6238.4
2007,동신대학교,본교,사립,1175.7,26855.8
2007,동아대학교,본교,사립,4574.3,45762.4
2007,동양대학교,본교,사립,373.8,15289.8
2007,동의대학교,본교,사립,3635.0,27895.1
2007,루터대학교,본교,사립,0.0,1058.8
2007,명신대학교,본교,사립,0.0,3162.8
2007,명지대학교,본교,사립,2719.2,154040.1
2007,목원대학교,본교,사립,1898.7,5676.7
2007,목포가톨릭대학교,본교,사립,400.0,7299.1
2007,배재대학교,본교,사립,626.6,16508.1
2007,백석대학교,본교,사립,272.3,2484.5
2007,부산가톨릭대학교,본교,사립,774.2,2192.7
2007,부산디지털대학교,본교,사립,0.0,0.0
2007,부산외국어대학교,본교,사립,1515.0,5117.3
2007,부산장신대학교,본교,사립,1235.3,0.0
2007,사이버한국외국어대학교,본교,사립,1158.4,2000.4
2007,삼육대학교,본교,사립,113.7,13520.8
2007,상명대학교,본교,사립,1876.6,12959.0
2007,상지대학교,본교,사립,2277.1,27879.0
2007,서강대학교,본교,사립,7536.6,65522.6
2007,서경대학교,본교,사립,224.6,12992.6
2007,서남대학교,본교,사립,0.0,5766.4
2007,서울기독대학교,본교,사립,1241.4,743.5
2007,서울디지털대학교,본교,사립,0.0,687.7
2007,서울사이버대학교,본교,사립,223.3,2735.8
2007,서울신학대학교,본교,사립,928.6,548.9
2007,서울여자대학교,본교,사립,9143.9,34700.2
2007,서울장신대학교,본교,사립,0.0,1120.0
2007,서울한영대학교,본교,사립,0.0,22726.2
2007,서원대학교,본교,사립,2560.0,11411.0
2007,선교청대학교,본교,사립,0.0,0.0
2007,선문대학교,본교,사립,1459.3,22170.7
2007,성결대학교,본교,사립,1702.8,1025.4
2007,성공회대학교,본교,사립,1274.7,22981.4
2007,성균관대학교,본교,사립,5091.8,37360.2
2007,성신여자대학교,본교,사립,2140.7,9387.3
2007,세명대학교,본교,사립,841.1,13733.8
2007,세종대학교,본교,사립,1681.4,69595.4
2007,세종사이버대학교,본교,사립,589.5,4168.4
2007,수원가톨릭대학교,본교,사립,0.0,2800.0
2007,수원대학교,본교,사립,1183.7,22931.5
2007,숙명여자대학교,본교,사립,5568.9,26860.4
2007,순천향대학교,본교,사립,4081.2,14924.1
2007,숭실대학교,본교,사립,4050.7,36871.3
2007,숭실사이버대학교,본교,사립,0.0,475.7
2007,신경대학교,본교,사립,0.0,0.0
2007,신라대학교,본교,사립,1190.7,6714.3
2007,아세아연합신학대학교,본교,사립,0.0,4225.4
2007,아주대학교,본교,사립,6984.7,102160.9
2007,안양대학교,본교,사립,741.4,11152.4
2007,연세대학교,본교,사립,9718.7,125892.4
2007,열린사이버대학교,본교,사립,0.0,2231.7
2007,영남대학교,본교,사립,8240.1,37138.2
2007,영남신학대학교,본교,사립,2040.0,1997.2
2007,영동대학교,본교,사립,0.0,9085.7
2007,영산대학교,본교,사립,0.0,2974.5
2007,영산선학대학교,본교,사립,461.5,0.0
2007,예수대학교,본교,사립,1388.3,25908.0
2007,예원예술대학교,본교,사립,1605.0,693.3
2007,용인대학교,본교,사립,291.0,10244.9
2007,우석대학교,본교,사립,405.5,13824.8
2007,우송대학교,본교,사립,1177.2,8119.7
2007,울산대학교,본교,사립,1245.1,30981.0
2007,원광대학교,본교,사립,4361.0,26774.1
2007,원광디지털대학교,본교,사립,0.0,0.0
2007,위덕대학교,본교,사립,11171.2,41367.0
2007,을지대학교,본교,사립,532.6,4938.7
2007,이화여자대학교,본교,사립,7036.5,57009.8
2007,인제대학교,본교,사립,6996.2,76541.6
2007,인천가톨릭대학교,본교,사립,0.0,5200.0
2007,인하대학교,본교,사립,6919.0,126769.7
2007,장로회신학대학교,본교,사립,2078.4,4303.2
2007,전주대학교,본교,사립,0.0,14147.0
2007,조선대학교,본교,사립,4903.6,29234.6
2007,중부대학교,본교,사립,265.7,2277.7
2007,중앙대학교,본교,사립,10046.7,51976.2
2007,중앙승가대학교,본교,사립,0.0,789.5
2007,차의과학대학교,본교,사립,1179.2,8858.6
2007,청운대학교,본교,사립,1487.4,12896.3
2007,청주대학교,본교,사립,4853.2,14327.3
2007,초당대학교,본교,사립,74.9,2319.0
2007,총신대학교,본교,사립,1999.4,1868.5
2007,추계예술대학교,본교,사립,326.1,0.0
2007,침례신학대학교,본교,사립,1826.1,672.3
2007,칼빈대학교,본교,사립,0.0,0.0
2007,탐라대학교,본교,사립,0.0,15230.4
2007,평택대학교,본교,사립,96.8,2525.4
2007,포항공과대학교,본교,사립,12501.4,425033.6
2007,한국국제대학교,본교,사립,18.6,7310.7
2007,한국기술교육대학교,본교,사립,7190.7,60358.2
2007,한국산업기술대학교,본교,사립,4589.0,233441.3
2007,한국성서대학교,본교,사립,795.9,6275.4
2007,한국외국어대학교,본교,사립,2272.7,4087.1
2007,한국정보통신대학교,본교,사립,29386.8,507710.9
2007,한국항공대학교,본교,사립,5313.3,97321.0
2007,한남대학교,본교,사립,2410.4,12235.7
2007,한동대학교,본교,사립,491.2,27990.9
2007,한라대학교,본교,사립,247.2,6713.5
2007,한려대학교(산업대),본교,사립,0.0,2285.4
2007,한림대학교,본교,사립,1135.3,21712.0
2007,한민학교,본교,사립,0.0,0.0
2007,한북대학교,본교,사립,0.0,1152.1
2007,한서대학교,본교,사립,1110.2,19648.7
2007,한성대학교,본교,사립,1379.6,14060.1
2007,한성디지털대학교,본교,사립,0.0,0.0
2007,한세대학교,본교,사립,0.0,9708.5
2007,한신대학교,본교,사립,2854.4,7965.6
2007,한양대학교,본교,사립,3412.2,76935.5
2007,한양사이버대학교,본교,사립,702.1,5403.4
2007,한일장신대학교,본교,사립,164.1,16092.3
2007,한중대학교,본교,사립,0.0,4733.9
2007,협성대학교,본교,사립,53.6,8923.1
2007,호남대학교,본교,사립,187.5,7201.8
2007,호남신학대학교,본교,사립,0.0,370.4
2007,호서대학교,본교,사립,3103.3,23225.5
2007,호원대학교,본교,사립,1465.0,7892.9
2007,홍익대학교,본교,사립,4780.1,18477.3
2008,가야대학교,본교,사립,1500.0,0.0
2008,가천의과학대학교,본교,사립,0.0,18340.2
2008,가톨릭대학교,본교,사립,5169.7,26376.0
2008,감리교신학대학교,본교,사립,0.0,0.0
2008,강남대학교,본교,사립,1874.0,8709.9
2008,강서대학교,본교,사립,410.3,0.0
2008,건국대학교,본교,사립,14532.3,89798.9
2008,건동대학교,본교,사립,0.0,0.0
2008,건양대학교,본교,사립,907.7,33913.0
2008,경기대학교,본교,사립,8000.8,23049.9
2008,경남대학교,본교,사립,3301.7,20231.7
2008,경동대학교,본교,사립,72.5,3123.9
2008,경북외국어대학교,본교,사립,0.0,0.0
2008,경성대학교,본교,사립,3231.8,16668.0
2008,경운대학교,본교,사립,658.8,11441.4
2008,경원대학교,본교,사립,6330.0,41090.3
2008,경일대학교,본교,사립,1713.5,12365.2
2008,경주대학교,본교,사립,386.5,7070.4
2008,경희대학교,본교,사립,15070.6,49623.9
2008,경희사이버대학교,본교,사립,1355.4,3307.6
