기준년도,학교명,법인명,설립,학급,학종,지역,회계,운영수입,등록금수입,기부금수입,등록금비율,기부금비율,source_file_name,source_sheet_name
2015,가야대학교,대구학원,사립,대학,일반,경남,교비,27580037.0,18111084.0,109775.0,65.67,0.4,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,가천대학교,가천학원,사립,대학,일반,경기,교비,237459727.0,167315417.0,2480844.0,70.46,1.04,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,가톨릭관동대학교,인천가톨릭학원,사립,대학,일반,강원,교비,100071393.0,64582972.0,845370.0,64.54,0.84,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,가톨릭대학교,가톨릭학원,사립,대학,일반,서울,교비,186361390.0,90205391.0,5409398.0,48.4,2.9,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,감리교신학대학교,감리교신학원,사립,대학,일반,서울,교비,14927890.0,9733807.0,817680.0,65.21,5.48,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,강남대학교,강남학원,사립,대학,일반,경기,교비,79124269.0,56817547.0,1437465.0,71.81,1.82,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,강서대학교,한국그리스도의교회학원,사립,대학,일반,서울,교비,15488528.0,10110160.0,152524.0,65.28,0.98,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,건국대학교,건국대학교,사립,대학,일반,서울,교비,365792708.0,239075611.0,7142309.0,65.36,1.95,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,건양대학교,건양학원,사립,대학,일반,충남,교비,111213594.0,58370472.0,1318950.0,52.49,1.19,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경기대학교,경기학원,사립,대학,일반,경기,교비,175946461.0,122465926.0,2501215.0,69.6,1.42,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경남대학교,한마학원,사립,대학,일반,경남,교비,122489494.0,87437151.0,1260107.0,71.38,1.03,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경동대학교,경동대학교,사립,대학,일반,강원,교비,62876191.0,41694750.0,289213.0,66.31,0.46,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경성대학교,한성(韓星)학원,사립,대학,일반,부산,교비,126831420.0,87415661.0,717852.0,68.92,0.57,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경운대학교,숭선학원,사립,대학,일반,경북,교비,55671900.0,37578635.0,249591.0,67.5,0.45,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경일대학교,일청학원,사립,대학,일반,경북,교비,72037421.0,46588336.0,1327763.0,64.67,1.84,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경주대학교,원석학원,사립,대학,일반,경북,교비,21409858.0,15794047.0,54638.0,73.77,0.26,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,경희대학교,경희학원,사립,대학,일반,서울,교비,441504728.0,283249404.0,9624209.0,64.16,2.18,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,계명대학교,계명대학교,사립,대학,일반,대구,교비,278379740.0,175781135.0,4611652.0,63.14,1.66,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,고려대학교,고려중앙학원,사립,대학,일반,서울,교비,620405711.0,353824730.0,37861925.0,57.03,6.1,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,고신대학교,대한예수교장로회총회고려학원,사립,대학,일반,부산,교비,51149511.0,32346219.0,3984007.0,63.24,7.79,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,광신대학교,광신학원,사립,대학,일반,광주,교비,7882074.0,5315259.0,631132.0,67.43,8.01,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,광운대학교,광운학원,사립,대학,일반,서울,교비,112082788.0,78246745.0,1776780.0,69.81,1.59,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
2015,광주가톨릭대학교,대건학당,사립,대학,일반,전남,교비,1745731.0,0.0,250962.0,0.0,14.38,2015회계연도 사립대학 법인교비 결산.xlsx,법인학교(자금) 
