공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),전임교원수(학부+대학원),법정부담금기준액,법정부담금부담액,부담율
2025,0000050,0000050,감리교신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,192.0,564.0,170.0,24.0,512761750.0,512761750.0,100.0
2025,0000079,0000079,강서대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,277.0,1742.0,504.0,54.0,580460660.0,350000000.0,60.3
2025,0000052,0000052,건국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3000.0,15960.0,3410.0,657.0,8501630030.0,3431189000.0,40.4
2025,0000066,0000066,경희대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4873.0,25573.0,5776.0,1395.0,20855588308.0,13164628500.0,63.1
2025,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4142.0,21772.0,4206.0,1601.0,24163041362.0,15021260780.0,62.2
2025,0000074,0000074,광운대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1823.0,8414.0,1970.0,307.0,5044274112.0,225000000.0,4.5
2025,0000078,0000078,국민대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2966.0,14502.0,3301.0,651.0,8545799808.0,2508000000.0,29.3
2025,0000099,0000099,덕성여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1215.0,5566.0,1203.0,197.0,2953722190.0,2953873000.0,100.0
2025,0000100,0000100,동국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2836.0,13841.0,2987.0,686.0,9793340414.0,5915000000.0,60.4
2025,0000102,0000102,동덕여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1577.0,6392.0,1634.0,214.0,3111042490.0,320000000.0,10.3
2025,0000116,0000116,삼육대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1157.0,5268.0,1284.0,190.0,3097089849.0,1766114440.0,57.0
2025,0000117,0000117,상명대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1302.0,6267.0,1393.0,246.0,6378584472.0,900000000.0,14.1
2025,0000120,0000120,서강대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1602.0,8429.0,1736.0,410.0,7220880416.0,500000000.0,6.9
2025,0000121,0000121,서경대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1309.0,6864.0,1457.0,250.0,2887684200.0,1032112000.0,35.7
2025,0000098,0000098,서울기독대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,136.0,1279.0,65.0,37.0,290586340.0,56000000.0,19.3
2025,0000126,0000126,서울여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1612.0,7692.0,1367.0,224.0,3554146100.0,250000000.0,7.0
2025,0000205,0000205,서울한영대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,180.0,778.0,136.0,27.0,392954690.0,151300000.0,38.5
2025,0000132,0000132,성공회대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,502.0,2234.0,444.0,80.0,1298975220.0,33003000.0,2.5
2025,0000133,0000133,성균관대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3555.0,19613.0,4256.0,1543.0,14429051320.0,14437000000.0,100.1
2025,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2060.0,9404.0,1939.0,324.0,4583499460.0,1340000000.0,29.2
2025,0000138,0000138,세종대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2564.0,13171.0,2616.0,590.0,7442403295.0,900000000.0,12.1
2025,0000141,0000141,숙명여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2160.0,10134.0,2336.0,419.0,6987485284.0,250000000.0,3.6
