학교명,법인명,학급,설립,학종,지역,회계,회계연도,1.자금수입총계[1135],2.운영수입[1086],3.등록금및수강료수입[1001],4.등록금수입[1002],5.입학금[1003],6.학부생입학금[1004],6.대학원생입학금[1005],6.기타입학금,5.수업료[1007],6.학부생수업료[1008],6.대학원생수업료[1009],6.계절학기수업료[1010],4.수강료수입[1011],5.단기수강료[1012],5.시간제등록금,3.전입및기부수입[1013],4.전입금수입[1014],5.경상비전입금[1015],5.법정부담전입금[1020],6.교원법정전입금(1)[1385],7.교원사학연금전입금(1)[1386],7.교원국민연금전입금(1)[1387],7.교원건강보험전입금(1)[1388],7.교원산재·고용보험전입금(1)[1389],7.교원퇴직수당전입금(1)[1507],6.직원법정전입금(2)[1390],7.직원사학연금전입금(2)[1391],7.직원국민연금전입금(2)[1392],7.직원건강보험전입금(2)[1393],7.직원산재·고용보험전입금(2)[1394],7.직원퇴직수당전입금(2)[1508],5.자산전입금[1026],6.자금전입금[1311],6.현물전입금[1312],5.부속병원전입금[1027],5.특별회계전입금[1032],5.교내전입금[1033],5.수익사업전입금[1034],5.등록금회계전입금[1351],6.건축적립금적립액[1509],6.차입원리금상환액[1510],5.비등록금회계전입금,4.기부금수입[1035],5.일반기부금(1)[1036],6.기업체(1)[1037],6.단체및기관(1)[1038],6.개인(1)[1039],5.지정기부금(2)[1040],6.기업체(2)[1041],6.단체및기관(2)[1042],6.개인(2)[1043],5.연구기부금(3)[1044],6.기업체(3)[1045],6.단체및기관(3)[1046],6.개인(3)[1047],4.국고보조금수입[1048],5.교육부[1313],6.국가장학금[1500],6.기타지원금[1501],5.타기관[1314],5.지방자치단체[1315],4.산학협력단및학교기업전입금[1365],5.산학협력단전입금[1297],5.학교기업전입금[1304],3.교육부대수입[1060],4.입시수수료수입[1061],5.입학원서대[1062],5.수험료[1063],4.증명사용료수입[1064],5.증명료[1065],5.대여료및사용료[1066],4.기타교육부대수입[1067],5.논문심사수입[1068],5.실습수입[1069],5.기타교육부대수입[1070],3.교육외수입[1071],4.예금이자수입[1072],5.예금이자[1073],5.기금투자자산처분수입,4.기타교육외수입[1074],5.잡수입[1075],5.특별회계사업수입[1301],4.수익재산수입[1081],5.임대료수입[1082],5.배당금수입[1083],5.임농수산물수입[1084],5.기타수익재산수입[1085],2.자산및부채수입[1126],3.투자와기타자산수입[1087],4.투자자산수입[1088],5.투자유가증권매각대[1089],5.출자금회수[1090],5.부속병원투자자산회수,5.산학협력단투자자산회수,5.학교기업투자자산회수[1306],5.기타투자자산수입[1091],4.원금보존기금인출수입[1353],5.원금보존연구기금인출[1354],5.원금보존건축기금인출[1355],5.원금보존장학기금인출[1356],5.원금보존퇴직기금인출[1367],5.원금보존특정목적기금인출[1357],4.임의기금인출수입[1092],5.임의연구기금인출[1093],5.임의건축기금인출[1094],5.임의장학기금인출[1095],5.임의퇴직기금인출[1096],5.임의특정목적기금인출[1097],4.기타자산수입[1098],5.전신전화보증금회수[1099],5.임차보증금회수[1100],5.장기대여금회수[1101],5.수익용예금인출[1502],5.기타자산수입[1102],3.고정자산매각수입[1103],4.유형고정자산매각수입[1104],5.토지매각대[1105],5.건물매각대[1106],5.구축물매각대[1107],5.기계기구매각대[1108],5.집기비품매각대[1109],5.컨텐츠매각대[1319],5.차량운반구매각대[1110],5.도서매각대[1111],5.유물매각대[1112],4.무형고정자산매각수입[1113],5.무형고정자산매각대[1114],3.유동부채입금[1115],4.단기차입금[1116],5.단기차입금차입[1117],3.고정부채입금[1118],4.장기차입금[1119],5.장기차입금차입[1120],5.차관도입[1121],5.학교채발행[1122],4.기타고정부채[1123],5.임대보증금수입[1124],5.기타고정부채수입[1125],3.기본금[1371],4.출연기본금[1372],5.설립자기본금[1373],5.법인[1374],2.미사용전기이월자금[1127],3.미사용전기이월자금[1294],4.미사용전기이월자금[1381],1.자금지출총계[1293],2.운영지출[1241],3.보수[1136],4.교원보수[1137],5.교원급여[1138],5.교원상여금[1139],5.교원각종수당[1140],5.교원법정부담금(3)[1141],6.교원사학연금부담금(3)[1395],6.교원국민연금부담금(3)[1396],6.교원건강보험부담금(3)[1397],6.교원산재·고용보험부담금(3)[1398],6.교원퇴직수당부담금(3)[1511],5.시간강의료[1142],5.특별강의료[1143],5.교원퇴직금[1144],5.조교인건비[1145],4.직원보수[1146],5.직원급여[1147],5.직원상여금[1148],5.직원각종수당[1149],5.직원법정부담금(4)[1150],6.직원사학연금부담금(4)[1399],6.직원국민연금부담금(4)[1400],6.직원건강보험부담금(4)[1401],6.직원산재·고용보험부담금(4)[1402],6.직원퇴직수당부담금(4)[1503],5.임시직인건비[1151],5.노임[1152],5.직원퇴직금[1153],3.관리운영비[1154],4.시설관리비[1155],5.건축물관리비[1156],5.장비관리비[1157],5.조경관리비[1158],5.박물관관리비[1159],5.시설용역비[1160],5.보험료[1161],5.리스임차료[1162],5.기타시설관리비[1165],4.일반관리비[1166],5.여비교통비[1167],5.차량유지비[1168],5.소모품비[1169],5.인쇄출판비[1170],5.난방비[1171],5.전기수도료[1172],5.통신비[1173],5.제세공과금[1174],5.지급수수료[1175],4.운영비[1176],5.복리후생비[1177],5.교육훈련비[1178],5.일반용역비[1179],5.업무추진비[1180],5.기관장 업무추진비[1601],5.상임이사 업무추진비[1602],5.기타 업무추진비[1603],5.홍보비[1181],5.회의비[1182],5.행사비[1183],5.선교비[1184],5.기타운영비[1185],3.연구학생경비[1186],4.연구비[1187],5.연구비[1188],5.연구관리비[1189],4.학생경비[1190],5.교외장학금[1368],5.교내장학금[1369],5.장학금[1191],6.내부장학금[1330],6.외부장학금[1331],5.학비감면[1192],5.실험실습비[1193],5.논문심사료[1199],5.학생지원비[1200],5.기타학생경비[1201],4.입시관리비[1202],5.입시수당[1203],5.입시경비[1204],3.교육외비용[1205],4.지급이자[1206],5.지급이자[1207],4.기타교육외비용[1208],5.잡손실[1209],5.특별회계사업비,5.기금투자자산처분손실,3.전출금[1216],4.전출금[1217],5.경상비전출금[1218],5.법정부담전출금[1223],6.교원법정전출금(5)[1403],7.교원사학연금전출금(5)[1404],7.교원국민연금전출금(5)[1405],7.교원건강보험전출금(5)[1406],7.교원산재·고용보험전출금(5)[1407],7.교원퇴직수당전출금(5)[1504],6.직원법정전출금(6)[1408],7.직원사학연금전출금(6)[1409],7.직원국민연금전출금(6)[1410],7.직원건강보험전출금(6)[1411],7.직원산재·고용보험전출금(6)[1412],7.직원퇴직수당전출금(6)[1505],5.자산전출금[1228],6.자금전출금[1341],6.현물전출금[1342],5.부속병원전출금[1233],5.특별회계전출금[1235],5.교내전출금[1240],5.등록금회계전출금,5.비등록금회계전출금[1359],6.건축적립금적립액[1512],6.차입원리금상환액[1513],4.산학협력단및학교기업전출금[1366],5.산학협력단전출금[1296],5.학교기업전출금[1343],3.예비비[1347],4.예비비[1348],5.예비비[1349],2.자산및부채지출[1242],3.투자와기타자산지출[1243],4.설치학교[1375],5.대학[1376],5.전문대학[1377],5.원격대학[1378],5.초중고교[1379],5.부속병원[1380],4.투자자산지출[1244],5.투자유가증권매입대[1245],5.출자금지출[1246],5.부속병원투자지출[1247],5.산학협력단투자자산지출,5.학교기업투자자산지출[1305],5.기타투자자산지출[1248],4.원금보존기금적립지출[1360],5.원금보존연구기금적립[1361],5.원금보존건축기금적립[1362],5.원금보존장학기금적립[1363],5.원금보존퇴직기금적립[1370],5.원금보존특정목적기금적립[1364],4.임의기금적립지출[1249],5.임의연구기금적립[1250],5.임의건축기금적립[1251],5.임의장학기금적립[1252],5.임의퇴직기금적립[1253],5.임의특정목적기금적립[1254],4.기타자산지출[1255],5.전신전화보증금지출[1256],5.임차보증금지출[1257],5.장기대여금지출[1258],5.수익용예금예치[1506],5.기타자산지출[1259],3.고정자산매입지출[1260],4.유형고정자산매입지출[1261],5.토지매입비[1262],5.건물매입비[1263],5.구축물매입비[1264],5.기계기구매입비[1265],5.집기비품매입비[1266],5.컨텐츠매입비[1346],5.차량운반구매입비[1267],5.도서구입비[1268],5.박물관유물구입비[1269],5.건설가계정[1270],4.무형고정자산취득비[1271],5.무형고정자산취득비[1272],3.유동부채상환[1273],4.단기차입금상환[1274],5.단기차입금상환[1275],3.고정부채상환[1276],4.장기차입금상환[1277],5.장기차입금상환[1278],5.차관상환[1279],5.학교채상환[1280],4.기타고정부채상환[1281],5.임대보증금환급[1282],5.장기미지급금상환[1283],5.기타고정부채의상환[1284],2.미사용차기이월자금[1285],3.미사용차기이월자금[1295],4.미사용차기이월자금[1382],7.학부수업료[1604],7.학부계절학기수업료[1605],7.대학원수업료[1606],7.대학원계절학기수업료[1607],5.기타국고지원[1514],5.유동성장기부채상환[1608]
가야대학교,대구학원, 대학 , 사립 , 일반 ,경남,법인,2022년,906912.0,416705.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,416705.0,32631.0,32631.0,,13.0,13.0,,384061.0,384061.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,490207.0,490207.0,490207.0,906912.0,407863.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116385.0,9889.0,,,,,,3731.0,,6157.0,72639.0,1377.0,,3850.0,,,14.0,260.0,62406.0,4731.0,33858.0,,,3740.0,,10510.0,,,,19608.0,,,,,,,,,,,,,,,,,,,,,,828.0,,,828.0,828.0,,,290650.0,290650.0,10650.0,280000.0,186000.0,180000.0,,,,6000.0,94000.0,94000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,499049.0,499049.0,499049.0,,,,,,
가천대학교,가천학원, 대학 , 사립 , 일반 ,경기,법인,2022년,14251181.0,10911294.0,,,,,,,,,,,,,,10623519.0,3593193.0,,,,,,,,,,,,,,,,,,,,,3593193.0,,,,,7030326.0,,,,,7030326.0,,7030326.0,,,,,,,,,,,,,,,,,,,,,,,,,,287775.0,257720.0,257720.0,,30056.0,30056.0,,,,,,,225000.0,225000.0,,,,,,,,,,,,,,225000.0,,,,,225000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3114886.0,3114886.0,3114886.0,14251181.0,7222029.0,279647.0,,,,,,,,,,,,,,,279647.0,28908.0,16968.0,48617.0,22361.0,8225.0,1289.0,10299.0,2548.0,,152066.0,,10727.0,65567.0,1900.0,,,,,,1900.0,,,7172.0,13.0,3737.0,1134.0,,,,45.0,330.0,1914.0,56494.0,10069.0,100.0,19525.0,,1181.0,1747.0,1075.0,,22797.0,,,,,,,,,,,,,,,,,,,,,,67261.0,,,67261.0,67261.0,,,6809554.0,6809554.0,21300.0,6385394.0,4994032.0,3814417.0,,20000.0,,1159615.0,1391362.0,1166938.0,,5000.0,,219425.0,,,,402860.0,,,,,,,,,,,,,72428.0,72428.0,,,,,,,,,,,,,,,,,,,,72428.0,,,,,72428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6956724.0,6956724.0,6956724.0,,,,,,
가톨릭꽃동네대학교(구.꽃동네대학교),꽃동네현도학원, 대학 , 사립 , 일반 ,충북,법인,2022년,1951908.0,1756984.0,,,,,,,,,,,,,,1503400.0,1500000.0,,,,,,,,,,,,,,,,,,,,,1500000.0,,,,,3400.0,,,,,3400.0,,,3400.0,,,,,,,,,,,,,,,,,,,,,,,,,253584.0,253464.0,253464.0,,120.0,120.0,,,,,,,134996.0,134996.0,,,,,,,,,,,,,,134996.0,,,,,134996.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59927.0,59927.0,59927.0,1951908.0,1697333.0,55009.0,,,,,,,,,,,,,,,55009.0,42936.0,,7200.0,4873.0,3029.0,,1845.0,,,,,,143123.0,2428.0,,1716.0,226.0,,,486.0,,,103171.0,661.0,3257.0,1029.0,522.0,,,301.0,97121.0,281.0,37524.0,374.0,350.0,20053.0,,50.0,,342.0,,9315.0,5280.0,,1760.0,,,,,,,,,,,,,,,,,,,,,,,,,,1499200.0,1497440.0,1132990.0,364450.0,213850.0,81500.0,8500.0,47000.0,5450.0,71400.0,150600.0,81700.0,5100.0,52200.0,7600.0,4000.0,,,,,,,,,,,1760.0,1760.0,,,,,111304.0,111304.0,,,,,,,,,,,,,,,,,,,,111304.0,,42622.0,,,68682.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,143271.0,143271.0,143271.0,,,,,,
가톨릭대학교,가톨릭학원, 대학 , 사립 , 일반 ,서울,법인,2022년,264727707.0,90269585.0,,,,,,,,,,,,,,87677436.0,58422952.0,,,,,,,,,,,,,,,,,,33222952.0,,,25200000.0,,,,,29254484.0,,,,,29254484.0,,29254484.0,,,,,,,,,,,,,,,,,,,,,,,,,,2592148.0,2023387.0,2023387.0,,344282.0,344282.0,,224479.0,218842.0,5638.0,,,5646835.0,5379293.0,5215560.0,,,,,,5215560.0,,,,,,,163734.0,,,13442.0,,150291.0,,,,,,,251288.0,251288.0,180048.0,71240.0,,,,,,,,,,,,,16254.0,,,,,16254.0,,16254.0,,,,,168811288.0,168811288.0,168811288.0,264727707.0,58790339.0,6271380.0,,,,,,,,,,,,,,,6271380.0,5451080.0,,,646057.0,419348.0,9569.0,212014.0,5126.0,,,,174243.0,4848423.0,621849.0,4038.0,,,,,12951.0,604860.0,,2331400.0,10899.0,36894.0,66267.0,10818.0,,,10039.0,1947654.0,248828.0,1895173.0,311720.0,56152.0,652186.0,,,,1563.0,367703.0,108924.0,67407.0,9000.0,320518.0,2500.0,,,,2500.0,2500.0,,,,,,,,,,,,,68956.0,,,68956.0,68956.0,,,47599081.0,47599081.0,39211594.0,8387486.0,4953763.0,2612607.0,268626.0,1465093.0,106982.0,500456.0,3433723.0,1767699.0,197554.0,1070323.0,212476.0,185671.0,,,,,,,,,,,,,,,,,14996192.0,14906573.0,63800.0,,,,63800.0,,12073990.0,,900000.0,11173990.0,,,,,,,,,,280278.0,89358.0,,1736.0,,189184.0,2488505.0,,,,251288.0,2237217.0,89619.0,79176.0,65800.0,,,,13376.0,,,,,,10443.0,10443.0,,,,,,,,,,,,,190941176.0,190941176.0,190941176.0,,,,,,
감리교신학대학교,감리교신학원, 대학 , 사립 , 일반 ,서울,법인,2022년,10878050.0,759055.0,,,,,,,,,,,,,,689000.0,680000.0,,,,,,,,,,,,,,,,,,,,,680000.0,,,,,9000.0,,,,,9000.0,,9000.0,,,,,,,,,,,,,,,,,,,,,,,,,,70055.0,69697.0,69697.0,,358.0,358.0,,,,,,,10100010.0,,,,,,,,,,,,,,,,,,,,,,,,,,,10100010.0,10100010.0,10100010.0,,,,,,,,,,,,,,,,,,,,,,,,,,18985.0,18985.0,18985.0,10878050.0,2189302.0,80440.0,,,,,,,,,,,,,,,80440.0,36958.0,25065.0,4187.0,14228.0,10660.0,,3569.0,,,,,,1582860.0,,,,,,,,,,1528620.0,7758.0,,700.0,1100.0,,,802.0,1517487.0,774.0,54240.0,1780.0,,15942.0,,4044.0,,,,367.0,16909.0,3500.0,11698.0,,,,,,,,,,,,,,,,,,,,,,,,,,526003.0,526003.0,21003.0,505000.0,240659.0,120513.0,7427.0,65388.0,7331.0,40000.0,264341.0,150725.0,2249.0,85437.0,7325.0,18605.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8688748.0,8688748.0,8688748.0,,,,,,
강남대학교,강남학원, 대학 , 사립 , 일반 ,경기,법인,2022년,870167.0,859582.0,,,,,,,,,,,,,,762000.0,562000.0,,,,,,,,,,,,,,,,,,,,,562000.0,,,,,200000.0,,,,,200000.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,97582.0,97582.0,97582.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10585.0,10585.0,10585.0,870167.0,863427.0,354614.0,,,,,,,,,,,,,,,354614.0,155731.0,63165.0,107647.0,28070.0,15327.0,,12743.0,,,,,,103525.0,1607.0,,,,,,353.0,1254.0,,14693.0,675.0,,967.0,306.0,,2986.0,1068.0,6634.0,2057.0,87224.0,1793.0,800.0,18920.0,,,,,,7450.0,,,58261.0,,,,,,,,,,,,,,,,,,,5289.0,,,5289.0,5289.0,,,400000.0,400000.0,,400000.0,400000.0,400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6740.0,6740.0,6740.0,,,,,,
강서대학교(구.케이씨대학교),한국그리스도의교회학원, 대학 , 사립 , 일반 ,서울,법인,2022년,657131.0,576644.0,,,,,,,,,,,,,,557552.0,387032.0,,,,,,,,,,,,,,,,,,,,,387032.0,,,,,168520.0,,,,,168520.0,6800.0,80000.0,81720.0,,,,,2000.0,,,,,2000.0,,,,,,,,,,,,,,,19091.0,17.0,17.0,,19075.0,19075.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80487.0,80487.0,80487.0,657131.0,534889.0,14024.0,,,,,,,,,,,,,,,14024.0,8464.0,,3360.0,,,,,,,,2200.0,,175057.0,8562.0,,,,,,,1726.0,6837.0,31285.0,733.0,,1955.0,968.0,,,458.0,25746.0,1425.0,135209.0,3298.0,500.0,17354.0,,9913.0,,2284.0,,21065.0,1796.0,,79000.0,,,,,,,,,,,,,,,,,,,13213.0,,,13213.0,13213.0,,,332595.0,332595.0,42000.0,290595.0,230000.0,208400.0,,21600.0,,,60595.0,60595.0,,,,,,,,,,,,,,,,,,,,,4011.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4011.0,4011.0,,,,,4011.0,,,,,,,,,,,,,,,,,,,,118231.0,118231.0,118231.0,,,,,,
건국대학교,건국대학교, 대학 , 사립 , 일반 ,서울,법인,2022년,10553985.0,10088628.0,,,,,,,,,,,,,,9052500.0,9050000.0,,,,,,,,,,,,,,,,,,,,,9050000.0,,,,,,,,,,,,,,,,,,2500.0,,,,2500.0,,,,,,,,,,,,,,,,1036128.0,137942.0,137942.0,,18549.0,18549.0,,879636.0,79636.0,800000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,465357.0,465357.0,465357.0,10553985.0,9376362.0,2181402.0,,,,,,,,,,,,,,,2181402.0,645341.0,464474.0,654761.0,202897.0,135265.0,,67632.0,,,213929.0,,,1312691.0,66947.0,18152.0,,,,,897.0,47898.0,,190510.0,33978.0,17829.0,27739.0,22982.0,,,13127.0,71492.0,3363.0,1055235.0,214459.0,1673.0,319799.0,,1320.0,,69538.0,12077.0,29167.0,407202.0,,,,,,,,,,,,,,,,,,,,,150933.0,148722.0,148722.0,2211.0,2211.0,,,5731335.0,5731335.0,,5731335.0,4390432.0,3149632.0,,160906.0,,1079894.0,1340903.0,1069484.0,,22608.0,,248811.0,,,,,,,,,,,,,,,,,654610.0,17172.0,,,,,,,,,,,,,,,,,,,,,,,,,,17172.0,,17172.0,,,,12438.0,12438.0,,,,,12438.0,,,,,,,,625000.0,625000.0,625000.0,,,,,,,,,,523013.0,523013.0,523013.0,,,,,,
건양대학교,건양교육재단, 대학 , 사립 , 일반 ,충남,법인,2022년,37871142.0,17497212.0,,,,,,,,,,,,,,15429677.0,15429677.0,,,,,,,,,,,,,,,,,,12929677.0,,,2500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2067535.0,2060620.0,2060620.0,,715.0,715.0,,6200.0,,,,6200.0,95695.0,95695.0,95695.0,95695.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20278235.0,20278235.0,20278235.0,37871142.0,6927799.0,984718.0,,,,,,,,,,,,,,,984718.0,830136.0,18100.0,29514.0,99668.0,62045.0,,34994.0,2629.0,,,,7301.0,219447.0,12660.0,,,,,,10160.0,,2501.0,146369.0,74555.0,1383.0,9953.0,,,27198.0,6029.0,13536.0,13715.0,60418.0,1702.0,,22428.0,,,,752.0,3410.0,21114.0,2128.0,,8886.0,,,,,,,,,,,,,,,,,,,10000.0,,,10000.0,10000.0,,,5713634.0,5713634.0,55750.0,5657884.0,4009236.0,2102558.0,175486.0,951289.0,121815.0,658088.0,1648648.0,947118.0,97484.0,519429.0,56563.0,28055.0,,,,,,,,,,,,,,,,,16221439.0,12164484.0,7019616.0,,,7019616.0,,,5048600.0,5048600.0,,,,,,,,,,,,95695.0,,95695.0,,,,573.0,,,,573.0,,4056954.0,4056954.0,,,3300.0,,3870.0,,,,,4049784.0,,,,,,,,,,,,,,,14721905.0,14721905.0,14721905.0,,,,,,
경기대학교,경기학원, 대학 , 사립 , 일반 ,경기,법인,2022년,150222.0,130012.0,,,,,,,,,,,,,,130000.0,60000.0,,,,,,,,,,,,,,,,,,,,,60000.0,,,,,70000.0,,,,,70000.0,30000.0,40000.0,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20209.0,20209.0,20209.0,150222.0,131063.0,45038.0,,,,,,,,,,,,,,,45038.0,36540.0,,3424.0,5074.0,3533.0,,1541.0,,,,,,76921.0,2068.0,,2068.0,,,,,,,6169.0,2394.0,,2666.0,,,,820.0,,289.0,68685.0,,20.0,20369.0,,1235.0,,775.0,,46154.0,,,131.0,,,,,,,,,,,,,,,,,,,,,,,,,,9103.0,9103.0,,9103.0,6372.0,6372.0,,,,,2731.0,2731.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19159.0,19159.0,19159.0,,,,,,
