reference_year,evaluation_cycle,university_name,founding_type,region_name,source_file_name,undergrad_enrolled_within_quota,undergrad_enrolled_total,total_enrolled_students_basis_1,total_enrolled_students_basis_2,total_enrolled_students_basis_3,full_time_faculty_count,legal_faculty_quota,full_time_faculty_rate_pct_original,full_time_faculty_rate_pct_recalculated,adjunct_faculty_rate_pct_original,faculty_combined_rate_pct_original,building_facility_area_sqm,building_required_area_sqm,building_facility_rate_pct_original,building_facility_rate_pct_recalculated,freshman_admissions_within_quota,freshman_recruitment_quota,freshman_fill_rate_pct_original,freshman_fill_rate_pct_recalculated,enrolled_students_within_quota,adjusted_student_quota,student_fill_rate_pct_original,student_fill_rate_pct_recalculated,student_recruitment_performance_pct_original,total_education_cost_krw,tuition_revenue_for_education_return_krw,education_cost_return_rate_pct_original,education_cost_return_rate_pct_recalculated,scholarship_amount_krw,tuition_revenue_for_scholarship_krw,scholarship_ratio_pct_original,scholarship_ratio_pct_recalculated,tuition_revenue_for_operating_revenue_ratio_krw,operating_revenue_for_tuition_ratio_krw,tuition_revenue_ratio_pct_original,tuition_revenue_ratio_pct_recalculated,donation_amount_krw,operating_revenue_for_donation_ratio_krw,donation_ratio_pct_original,donation_ratio_pct_recalculated,corporate_transfer_amount_krw,operating_revenue_for_corporate_transfer_krw,corporate_transfer_ratio_pct_original,corporate_transfer_ratio_pct_recalculated,legal_burden_paid_krw,legal_burden_standard_krw,legal_burden_rate_pct_original,legal_burden_rate_pct_recalculated,corporate_transfer_for_corporate_finance_krw,corporate_general_account_finance_scale_krw,corporate_finance_transfer_ratio_pct_original,corporate_finance_transfer_ratio_pct_recalculated,lecturer_pay_total_krw,lecture_hours_total,lecturer_hourly_pay_krw_original,lecturer_hourly_pay_krw_recalculated,internal_research_funds_thousand_krw,full_time_faculty_count_internal_research,internal_research_funds_per_faculty_thousand_krw_original,internal_research_funds_per_faculty_thousand_krw_recalculated,staff_enrolled_students,staff_count,students_per_staff_original,students_per_staff_recalculated,dormitory_capacity,dormitory_enrolled_students,dormitory_accommodation_rate_pct_original,dormitory_accommodation_rate_pct_recalculated,dormitory_domestic_residents,dormitory_domestic_enrolled_students,dormitory_domestic_accommodation_rate_pct_original,dormitory_domestic_accommodation_rate_pct_recalculated,library_material_purchase_expense_krw,library_student_count,library_material_purchase_per_student_krw_original,library_material_purchase_per_student_krw_recalculated,library_staff_count,library_staff_enrolled_students,library_staff_per_1000_students_original,library_staff_per_1000_students_recalculated,domestic_paper_count,full_time_faculty_count_domestic_paper,domestic_papers_per_faculty_original,domestic_papers_per_faculty_recalculated,sci_paper_count,full_time_faculty_count_sci_paper,sci_papers_per_faculty_original,sci_papers_per_faculty_recalculated,book_count,full_time_faculty_count_book,books_per_faculty_original,books_per_faculty_recalculated,external_research_funds_thousand_krw,full_time_faculty_count_external_research,external_research_funds_per_faculty_thousand_krw_original,external_research_funds_per_faculty_thousand_krw_recalculated,research_performance_vs_standard_original,employment_count,graduate_count,employment_rate_pct_original,employment_rate_pct_recalculated,career_success_count,career_target_count,graduate_career_performance_pct_original,graduate_career_performance_pct_recalculated
2015,2,가야대학교,사립,경남,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,2419.0,2638.0,2814.0,2814.0,2814.0,98.0,140.0,70.0,70.0,,,83366.0,38032.0,219.19962,219.19962,635.0,637.0,99.68602,99.68603,2419.0,2655.0,91.11111,91.11111,,23321374750.0,18408300000.0,126.68945,126.68945,2989130000.0,17201280000.0,17.37736,17.37737,18408300000.0,26897555000.0,68.43856,68.43856,67300000.0,26897555000.0,0.2502,0.25021,70000000.0,26897555000.0,0.26024,0.26025,,,,,,,,,315225000.0,7005.0,45000.0,45000.0,129000.0,98.0,1316.32653,1316.32653,2814.0,63.0,44.66666,44.66667,672.0,2656.0,25.3012,25.3012,,,,,138003945.0,2890.0,47752.2301,47752.2301,2.8,2814.0,0.99502,0.99502,38.0454,98.0,0.38821,0.38822,0.5429,98.0,0.00553,0.00554,4.95,98.0,0.05051,0.05051,15274.0,98.0,155.85714,155.85714,1.95715,398.0,535.0,74.39252,74.39252,,,,
2015,2,가천대학교,사립,경기,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,16675.0,18995.0,21018.0,21018.0,21018.0,651.0,974.0,66.83778,66.83778,,,345360.0,265679.0,129.99145,129.99146,3907.0,3916.0,99.77017,99.77017,16675.0,15961.0,104.4734,104.4734,,233588328350.0,169167668000.0,138.08095,138.08095,30341804000.0,146377309000.0,20.72848,20.72849,169167668000.0,237819714000.0,71.13273,71.13274,1639674000.0,237819714000.0,0.68946,0.68946,20036891000.0,237819714000.0,8.42524,8.42524,,,,,,,,,2537545600.0,51232.0,49530.48094,49530.48095,2203900.0,845.0,2608.16568,2608.16568,21018.0,274.0,76.70802,76.70803,877.0,20030.0,4.37843,4.37843,,,,,2647035700.0,21016.0,125953.35458,125953.35459,19.7,21018.0,0.93729,0.93729,437.2946,845.0,0.5175,0.51751,299.9697,845.0,0.35499,0.35499,29.1569,845.0,0.0345,0.03451,26692032.0,845.0,31588.20355,31588.20355,12.23022,2113.0,3179.0,66.46744,66.46744,,,,
2015,2,가톨릭관동대학교,사립,강원,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,8457.0,9192.0,9686.0,9686.0,9686.0,332.0,451.0,73.61419,73.61419,,,139193.0,139006.0,100.13452,100.13453,2135.0,2210.0,96.60633,96.60633,8457.0,9272.0,91.21009,91.21009,,108738911820.0,65954056000.0,164.87069,164.8707,11530459000.0,61976261000.0,18.60463,18.60464,65954056000.0,124823574000.0,52.83782,52.83782,594386000.0,124823574000.0,0.47618,0.47618,3000000000.0,124823574000.0,2.40339,2.40339,,,,,,,,,558182399.9999999,11628.8,47999.99999,48000.0,1099000.0,451.0,2436.80709,2436.8071,9686.0,253.0,38.28458,38.28458,3230.0,9447.0,34.19074,34.19075,,,,,717639505.0,9993.0,71814.22045,71814.22045,8.4,9686.0,0.86723,0.86723,175.6035,451.0,0.38936,0.38936,73.6474,451.0,0.16329,0.1633,18.1056,451.0,0.04014,0.04015,8881562.0,451.0,19693.04212,19693.04213,6.92124,1064.0,1640.0,64.87804,64.87805,,,,
2015,2,가톨릭꽃동네대학교,사립,충북,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,465.0,502.0,579.0,579.0,579.0,22.0,27.0,81.48148,81.48148,,,10437.0,6560.0,159.1006,159.10061,120.0,120.0,100.0,100.0,465.0,480.0,96.875,96.875,,8073160250.0,3993628000.0,202.15103,202.15103,1255585000.0,3578673000.0,35.08521,35.08521,3993628000.0,8899561000.0,44.87443,44.87444,241316000.0,8899561000.0,2.71154,2.71155,959270000.0,8899561000.0,10.77884,10.77885,,,,,,,,,66885000.0,1515.0,44148.51485,44148.51485,41000.0,22.0,1863.63636,1863.63636,579.0,45.0,12.86666,12.86667,416.0,502.0,82.86852,82.86853,,,,,93000000.0,569.0,163444.63971,163444.63972,1.0,579.0,1.72711,1.72712,12.6143,22.0,0.57337,0.57338,0.25,22.0,0.01136,0.01136,5.1167,22.0,0.23257,0.23258,5000.0,22.0,227.27272,227.27273,5.21075,94.0,119.0,78.99159,78.9916,,,,
2015,2,가톨릭대학교,사립,경기,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,7254.0,8016.0,10899.0,10899.0,10899.0,365.0,481.0,75.88357,75.88358,,,207599.0,134903.0,153.8876,153.88761,1717.0,1734.0,99.0196,99.01961,7254.0,7004.0,103.56938,103.56939,,216806797800.0,90396738000.0,239.83918,239.83918,11192122000.0,54418416000.0,20.56679,20.56679,90396738000.0,182708020000.0,49.47606,49.47606,6113993000.0,182708020000.0,3.34631,3.34632,19890248000.0,182708020000.0,10.88635,10.88636,,,,,,,,,1102713600.0,22408.0,49210.71046,49210.71046,3868978.0,1146.0,3376.07155,3376.07155,10899.0,513.0,21.24561,21.24561,1340.0,9745.0,13.75064,13.75064,,,,,3947650145.0,11016.0,358356.04075,358356.04076,27.8,10899.0,2.55069,2.55069,323.5765,1146.0,0.28235,0.28235,677.3342,1146.0,0.59104,0.59104,53.466,1146.0,0.04665,0.04665,87909135.0,1146.0,76709.54188,76709.54188,20.96501,945.0,1500.0,63.0,63.0,,,,
2015,2,감리교신학대학교,사립,서울,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,797.0,858.0,1550.0,1550.0,1550.0,29.0,76.0,38.15789,38.15789,,,24787.0,15744.0,157.43775,157.43775,192.0,200.0,96.0,96.0,797.0,800.0,99.625,99.625,,10975184900.0,10113258000.0,108.52274,108.52274,1085114000.0,5470315000.0,19.8364,19.83641,10113258000.0,15298024000.0,66.10826,66.10826,1345099000.0,15298024000.0,8.79263,8.79263,565033000.0,15298024000.0,3.6935,3.6935,,,,,,,,,124800000.0,3060.0,40784.31372,40784.31373,0.0,28.0,0.0,0.0,1550.0,35.0,44.28571,44.28571,300.0,1421.0,21.11189,21.11189,,,,,139995973.0,1576.0,88829.9321,88829.93211,3.0,1550.0,1.93548,1.93548,15.0,28.0,0.53571,0.53571,0.0,28.0,0.0,0.0,6.6,28.0,0.23571,0.23571,20600.0,28.0,735.71428,735.71429,5.26581,0.0,0.0,0.0,,,,,
2015,2,강남대학교,사립,경기,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,6541.0,7279.0,7719.0,7719.0,7719.0,233.0,337.0,69.13946,69.13947,,,91825.0,77778.0,118.06037,118.06038,1558.0,1577.0,98.79518,98.79518,6541.0,6545.0,99.93888,99.93888,,68273854250.0,58128107000.0,117.45411,117.45412,8302358000.0,53555488000.0,15.50234,15.50235,58128107000.0,76780798000.0,75.70656,75.70657,1503703000.0,76780798000.0,1.95843,1.95844,274023000.0,76780798000.0,0.35689,0.35689,,,,,,,,,753227500.0,15066.5,49993.52868,49993.52869,217948.0,233.0,935.39914,935.39914,7719.0,114.0,67.71052,67.71053,934.0,7524.0,12.4136,12.41361,,,,,423221924.0,7910.0,53504.66801,53504.66802,8.7,7719.0,1.12708,1.12709,99.596,233.0,0.42745,0.42745,11.8337,233.0,0.05078,0.05079,41.4095,233.0,0.17772,0.17772,1011200.0,233.0,4339.91416,4339.91416,5.93014,1025.0,1580.0,64.87341,64.87342,,,,
2015,2,강서대학교,사립,서울,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,1281.0,1455.0,1631.0,1631.0,1631.0,51.0,66.0,77.27272,77.27273,,,14365.0,14288.0,100.53891,100.53891,323.0,329.0,98.17629,98.17629,1281.0,1320.0,97.04545,97.04545,,13062931950.0,10394986000.0,125.6657,125.6657,1325225000.0,8615733000.0,15.38145,15.38145,10394986000.0,15376274000.0,67.60406,67.60406,144194000.0,15376274000.0,0.93776,0.93777,10000000.0,15376274000.0,0.06503,0.06504,,,,,,,,,377449500.0,8325.0,45339.27927,45339.27928,36000.0,51.0,705.88235,705.88235,1631.0,39.0,41.82051,41.82051,120.0,1455.0,8.24742,8.24742,,,,,103897903.0,1592.0,65262.50188,65262.50188,2.0,1631.0,1.22624,1.22624,21.3096,51.0,0.41783,0.41784,0.0,51.0,0.0,0.0,5.0333,51.0,0.09869,0.09869,7000.0,51.0,137.2549,137.2549,2.67233,161.0,250.0,64.4,64.4,,,,
2015,2,강원대학교,국립,강원,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,20142.0,21990.0,24829.0,24829.0,24829.0,851.0,1182.0,71.99661,71.99662,,,502606.0,375227.0,133.94718,133.94718,4969.0,4997.0,99.43966,99.43966,20142.0,20282.0,99.30973,99.30973,,267544747413.0,96912464000.0,276.06846,276.06846,15257679000.0,86391073000.0,17.66117,17.66118,96912464000.0,240957430000.0,40.21974,40.21975,7913548000.0,240957430000.0,3.2842,3.28421,,,,,,,,,,,,,4866280000.0,68536.0,71003.26835,71003.26836,2963300.0,998.0,2969.23847,2969.23848,24829.0,610.0,40.70327,40.70328,7514.0,24742.0,30.36941,30.36941,,,,,3836120172.0,24981.0,153561.51363,153561.51363,31.5,24829.0,1.26867,1.26868,607.1342,998.0,0.60835,0.60835,432.005,998.0,0.43287,0.43287,118.9525,998.0,0.11919,0.11919,60066611.0,998.0,60186.98496,60186.98497,18.11698,2241.0,3711.0,60.38803,60.38804,,,,
2015,2,건국대학교,사립,서울,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,13072.0,15698.0,19999.0,19999.0,19999.0,674.0,956.0,70.50209,70.50209,,,300980.0,234276.0,128.4724,128.4724,2995.0,3009.0,99.53472,99.53473,13072.0,12138.0,107.69484,107.69484,,412136977950.0,240422376000.0,171.42205,171.42206,24529772000.0,120640969000.0,20.33287,20.33287,240422376000.0,364479930000.0,65.96313,65.96313,6925617000.0,364479930000.0,1.90013,1.90014,6672563000.0,364479930000.0,1.8307,1.83071,,,,,,,,,2054312320.0,41123.2,49955.06964,49955.06964,5736501.0,706.0,8125.35552,8125.35552,19999.0,443.0,45.14446,45.14447,3411.0,18008.0,18.94158,18.94158,,,,,2806600000.0,20328.0,138065.72215,138065.72216,30.0,19999.0,1.50007,1.50008,420.052,706.0,0.59497,0.59497,433.2405,706.0,0.61365,0.61366,47.7582,706.0,0.06764,0.06765,56462221.0,706.0,79974.81728,79974.81728,22.93688,1797.0,2822.0,63.67824,63.67824,,,,
