기준년도,학교명,평가주기,설립구분,지역,통합지표값,원자료지표값,재계산지표값,분자,분모,단위,원본파일명,직원1인당학생수
2015,감리교신학대학교,2,사립,서울,44.28571,44.28571,44.28571,1550.0,35.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,44.28571
2015,강서대학교,2,사립,서울,41.82051,41.82051,41.82051,1631.0,39.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,41.82051
2015,건국대학교,2,사립,서울,45.14447,45.14446,45.14447,19999.0,443.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,45.14447
2015,경희대학교,2,사립,서울,35.29015,35.29014,35.29015,32961.0,934.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,35.29015
2015,고려대학교,2,사립,서울,39.45321,39.4532,39.45321,29511.0,748.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,39.45321
2015,광운대학교,2,사립,서울,47.89573,47.89573,47.89573,10106.0,211.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,47.89573
2015,국민대학교,2,사립,서울,42.31891,42.3189,42.31891,18578.0,439.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,42.31891
2015,덕성여자대학교,2,사립,서울,49.80153,49.80152,49.80153,6524.0,131.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,49.80153
2015,동국대학교,2,사립,서울,51.60058,51.60058,51.60058,17699.0,343.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,51.60058
2015,동덕여자대학교,2,사립,서울,69.94958,69.94957,69.94958,8324.0,119.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,69.94958
2015,삼육대학교,2,사립,서울,26.4026,26.40259,26.4026,6099.0,231.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,26.4026
2015,상명대학교,2,사립,서울,51.34932,51.34931,51.34932,14994.0,292.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,51.34932
2015,서강대학교,2,사립,서울,43.0717,43.07169,43.0717,11414.0,265.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,43.0717
2015,서경대학교,2,사립,서울,61.0339,61.03389,61.0339,7202.0,118.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,61.0339
2015,서울기독대학교,2,사립,서울,31.46429,31.46428,31.46429,881.0,28.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,31.46429
2015,서울여자대학교,2,사립,서울,33.893,33.893,33.893,8236.0,243.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,33.893
2015,서울한영대학교,2,사립,서울,23.93478,23.93478,23.93478,1101.0,46.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,23.93478
2015,성공회대학교,2,사립,서울,36.38356,36.38356,36.38356,2656.0,73.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,36.38356
2015,성균관대학교,2,사립,서울,59.0262,59.0262,59.0262,27034.0,458.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,59.0262
2015,성신여자대학교,2,사립,서울,44.45082,44.45081,44.45082,10846.0,244.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,44.45082
2015,세종대학교,2,사립,서울,89.62745,89.62745,89.62745,13713.0,153.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,89.62745
2015,숙명여자대학교,2,사립,서울,48.22222,48.22222,48.22222,13020.0,270.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,48.22222
2015,숭실대학교,2,사립,서울,62.68548,62.68548,62.68548,15546.0,248.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,62.68548
2015,연세대학교,2,사립,서울,36.22648,36.22648,36.22648,31191.0,861.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,36.22648
2015,이화여자대학교,2,사립,서울,40.5239,40.5239,40.5239,21194.0,523.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,40.5239
2015,장로회신학대학교,2,사립,서울,46.45833,46.45833,46.45833,2230.0,48.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,46.45833
2015,중앙대학교,2,사립,서울,45.1907,45.19069,45.1907,29148.0,645.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,45.1907
2015,총신대학교,2,사립,서울,55.25,55.25,55.25,3978.0,72.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,55.25
2015,추계예술대학교,2,사립,서울,35.30769,35.30769,35.30769,1377.0,39.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,35.30769
2015,한국성서대학교,2,사립,서울,22.53448,22.53448,22.53448,1307.0,58.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,22.53448
2015,한국외국어대학교,2,사립,서울,56.15294,56.15294,56.15294,19092.0,340.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,56.15294
2015,한성대학교,2,사립,서울,70.6036,70.6036,70.6036,7837.0,111.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,70.6036
2015,한양대학교,2,사립,서울,33.3707,33.3707,33.3707,22325.0,669.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,33.3707
2015,홍익대학교,2,사립,서울,50.27045,50.27045,50.27045,22119.0,440.0,students_per_staff,2주기 2015년도 대학현황지표 - 20260427111443.xlsx,50.27045
2016,감리교신학대학교,2,사립,서울,45.02857,45.02857,45.02857,1576.0,35.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,45.02857
2016,강서대학교,2,사립,서울,36.45455,36.45454,36.45455,1604.0,44.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,36.45455
2016,건국대학교,2,사립,서울,44.62332,44.62331,44.62332,19902.0,446.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,44.62332
2016,경희대학교,2,사립,서울,38.70732,38.70731,38.70732,33327.0,861.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,38.70732
2016,고려대학교,2,사립,서울,34.63072,34.63071,34.63072,29540.0,853.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,34.63072
2016,광운대학교,2,사립,서울,45.40278,45.40277,45.40278,9807.0,216.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,45.40278
2016,국민대학교,2,사립,서울,43.08531,43.0853,43.08531,18182.0,422.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,43.08531
2016,덕성여자대학교,2,사립,서울,46.89552,46.89552,46.89552,6284.0,134.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,46.89552
2016,동국대학교,2,사립,서울,56.35714,56.35714,56.35714,17358.0,308.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,56.35714
2016,동덕여자대학교,2,사립,서울,62.15966,62.15966,62.15966,7397.0,119.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,62.15966
2016,삼육대학교,2,사립,서울,26.93274,26.93273,26.93274,6006.0,223.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,26.93274
2016,상명대학교,2,사립,서울,49.50993,49.50993,49.50993,14952.0,302.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,49.50993
2016,서강대학교,2,사립,서울,42.16604,42.16603,42.16604,11174.0,265.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,42.16604
2016,서경대학교,2,사립,서울,63.07018,63.07017,63.07018,7190.0,114.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,63.07018
2016,서울기독대학교,2,사립,서울,26.24138,26.24137,26.24138,761.0,29.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,26.24138
2016,서울여자대학교,2,사립,서울,29.51648,29.51648,29.51648,8058.0,273.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,29.51648
2016,서울한영대학교,2,사립,서울,23.19149,23.19148,23.19149,1090.0,47.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,23.19149
2016,성공회대학교,2,사립,서울,34.0,34.0,34.0,2516.0,74.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,34.0
2016,성균관대학교,2,사립,서울,64.38164,64.38164,64.38164,26654.0,414.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,64.38164
2016,성신여자대학교,2,사립,서울,42.63265,42.63265,42.63265,10445.0,245.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,42.63265
2016,세종대학교,2,사립,서울,83.64072,83.64071,83.64072,13968.0,167.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,83.64072
2016,숙명여자대학교,2,사립,서울,44.51389,44.51388,44.51389,12820.0,288.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,44.51389
2016,숭실대학교,2,사립,서울,58.77481,58.7748,58.77481,15399.0,262.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,58.77481
2016,연세대학교,2,사립,서울,36.8692,36.8692,36.8692,31007.0,841.0,students_per_staff,2주기 2016년도 대학현황지표 - 20260427111439.xlsx,36.8692
