reference_year,row_no,university_name,school_type,founding_type,region_name,size_group,regular_staff_certified,regular_staff_not_certified,non_regular_staff_certified,non_regular_staff_not_certified,total_staff_certified,total_staff_not_certified,enrolled_students,library_staff_per_1000_students_original,student_count_basis,schema_group,library_staff_per_1000_students_recalculated,source_file_name,metric_calc_status,metric_value_was_infinite_or_invalid,scope_school_id,is_scope34_exact,is_comparison11,standardization_source
2008,8,감리교신학대학교,대학,사립,서울,C그룹,4.0,0.0,0.0,0.0,4.0,0.0,1549,2.5999999046325684,current_year,legacy_2008_2016,2.582311168495804,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000050,True,False,processed_csv_candidate_not_raw_verified
2008,12,강서대학교,대학,사립,서울,C그룹,1.0,0.0,2.0,0.0,3.0,0.0,1516,1.7000000476837158,current_year,legacy_2008_2016,1.7150395778364118,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000079,True,False,processed_csv_candidate_not_raw_verified
2008,18,건국대학교,대학,사립,서울,A그룹,17.0,4.0,15.0,3.0,32.0,7.0,18430,1.7999999523162842,current_year,legacy_2008_2016,1.8285404232230065,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000052,True,False,processed_csv_candidate_not_raw_verified
2008,43,경희대학교,대학,사립,서울,A그룹,31.0,6.0,17.0,10.0,48.0,16.0,28405,1.899999976158142,current_year,legacy_2008_2016,1.9151557824326704,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000066,True,False,processed_csv_candidate_not_raw_verified
2008,48,고려대학교,대학,사립,서울,A그룹,45.0,5.0,11.0,0.0,56.0,5.0,29048,2.0,current_year,legacy_2008_2016,1.989809969705315,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000069,True,False,processed_csv_candidate_not_raw_verified
2008,57,광운대학교,대학,사립,서울,B그룹,7.0,2.0,7.0,0.0,14.0,2.0,9350,1.5,current_year,legacy_2008_2016,1.518716577540107,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000074,True,True,processed_csv_candidate_not_raw_verified
2008,80,국민대학교,대학,사립,서울,A그룹,13.0,1.0,6.0,15.0,19.0,16.0,16012,1.600000023841858,current_year,legacy_2008_2016,1.6300274793904572,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000078,True,False,processed_csv_candidate_not_raw_verified
2008,130,덕성여자대학교,대학,사립,서울,B그룹,9.0,1.0,4.0,4.0,13.0,5.0,6717,2.200000047683716,current_year,legacy_2008_2016,2.233139794551138,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000099,True,True,processed_csv_candidate_not_raw_verified
2008,132,동국대학교,대학,사립,서울,A그룹,18.0,2.0,0.0,0.0,18.0,2.0,15646,1.2999999523162842,current_year,legacy_2008_2016,1.252716349226639,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000100,True,False,processed_csv_candidate_not_raw_verified
2008,135,동덕여자대학교,대학,사립,서울,B그룹,8.0,0.0,5.0,0.0,13.0,0.0,7525,1.600000023841858,current_year,legacy_2008_2016,1.5946843853820598,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000102,True,True,processed_csv_candidate_not_raw_verified
2008,183,삼육대학교,대학,사립,서울,B그룹,5.0,4.0,0.0,1.0,5.0,5.0,5587,1.600000023841858,current_year,legacy_2008_2016,1.557186325398246,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000116,True,False,processed_csv_candidate_not_raw_verified
2008,185,상명대학교,대학,사립,서울,A그룹,15.0,4.0,0.0,0.0,15.0,4.0,15871,1.100000023841858,current_year,legacy_2008_2016,1.1467456366958604,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000117,True,False,processed_csv_candidate_not_raw_verified
2008,188,서강대학교,대학,사립,서울,A그룹,18.0,6.0,5.0,2.0,23.0,8.0,14529,1.899999976158142,current_year,legacy_2008_2016,1.913414550209925,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000120,True,False,processed_csv_candidate_not_raw_verified
2008,189,서경대학교,대학,사립,서울,B그룹,2.0,6.0,0.0,0.0,2.0,6.0,6355,1.100000023841858,current_year,legacy_2008_2016,1.070023603461841,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000121,True,True,processed_csv_candidate_not_raw_verified
2008,196,서울기독대학교,대학,사립,서울,C그룹,0.0,0.0,1.0,0.0,1.0,0.0,0,0.0,current_year,legacy_2008_2016,,기본통계_인적자원_20260422112934(7).xlsx,not_calculable_or_missing,True,0000098,True,False,processed_csv_candidate_not_raw_verified
2008,209,서울여자대학교,대학,사립,서울,B그룹,6.0,2.0,9.0,0.0,15.0,2.0,7885,1.899999976158142,current_year,legacy_2008_2016,1.8769816106531387,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000126,True,True,processed_csv_candidate_not_raw_verified
2008,213,서울한영대학교,대학,사립,서울,C그룹,3.0,1.0,0.0,1.0,3.0,2.0,979,4.400000095367432,current_year,legacy_2008_2016,4.39223697650664,기본통계_인적자원_20260422112934(7).xlsx,ok,False,0000205,True,False,processed_csv_candidate_not_raw_verified
