reference_year,row_no,university_name,school_type,founding_type,region_name,size_group,university_total_settlement,books_purchase_expense,serials_purchase_expense,non_book_purchase_expense,electronic_resources_total,electronic_journals_expense,web_db_expense,subscribed_ebook_expense,other_electronic_resources_expense,total_material_purchase_expense,enrolled_students_current_year,material_purchase_expense_per_student,source_file_name,metric_calc_status,metric_value_was_infinite_or_invalid,scope_school_id,is_scope34_exact,is_comparison11,standardization_source,material_purchase_expense_per_student_formula_recalculated
2008,8,감리교신학대학교,대학,사립,서울,C그룹,0,91035525,41788931,25058160,21817070,0,0,297100,179996786,179996786,1549,116201.9,기본통계_예산및결산_20260422104615.xls,ok,False,0000050,True,False,processed_csv_candidate_not_raw_verified,116201.92769528728
2008,12,강서대학교,대학,사립,서울,C그룹,10644720184,29345970,34037126,1311500,9531390,0,0,0,74225986,74225986,1516,48961.7,기본통계_예산및결산_20260422104615.xls,ok,False,0000079,True,False,processed_csv_candidate_not_raw_verified,48961.73218997361
2008,18,건국대학교,대학,사립,서울,A그룹,285413636000,934968190,542847888,46278240,601076093,0,0,60359760,2185530171,2185530171,18430,118585.5,기본통계_예산및결산_20260422104615.xls,ok,False,0000052,True,False,processed_csv_candidate_not_raw_verified,118585.46776994031
2008,43,경희대학교,대학,사립,서울,A그룹,388477206236,2037260000,1362571000,72182000,1482260000,0,0,153049000,5107322000,5107322000,28405,179803.6,기본통계_예산및결산_20260422104615.xls,ok,False,0000066,True,False,processed_csv_candidate_not_raw_verified,179803.6261221616
2008,48,고려대학교,대학,사립,서울,A그룹,479990514000,1962824500,1402969000,86963000,2164233000,0,0,241999000,5858988500,5858988500,29048,201700.2,기본통계_예산및결산_20260422104615.xls,ok,False,0000069,True,False,processed_csv_candidate_not_raw_verified,201700.23753786835
2008,57,광운대학교,대학,사립,서울,B그룹,90453848759,356286930,195732723,7977840,496756971,0,0,8300000,1065054464,1065054464,9350,113909.6,기본통계_예산및결산_20260422104615.xls,ok,False,0000074,True,True,processed_csv_candidate_not_raw_verified,113909.56834224598
2008,80,국민대학교,대학,사립,서울,A그룹,149475046000,1212086619,290913381,8392291,431795200,0,0,67812509,2011000000,2011000000,16012,125593.3,기본통계_예산및결산_20260422104615.xls,ok,False,0000078,True,False,processed_csv_candidate_not_raw_verified,125593.30502123407
2008,130,덕성여자대학교,대학,사립,서울,B그룹,53592000000,185218000,139552000,26371000,78717000,0,0,0,429858000,429858000,6717,63995.5,기본통계_예산및결산_20260422104615.xls,ok,False,0000099,True,True,processed_csv_candidate_not_raw_verified,63995.533720410895
2008,132,동국대학교,대학,사립,서울,A그룹,173750689000,1616055000,344103000,40590000,622105000,0,0,95500000,2718353000,2718353000,15646,173741.1,기본통계_예산및결산_20260422104615.xls,ok,False,0000100,True,False,processed_csv_candidate_not_raw_verified,173741.08398312668
2008,135,동덕여자대학교,대학,사립,서울,B그룹,66316560000,289668020,174782340,20107680,232149537,0,0,26499360,743206937,743206937,7525,98765.0,기본통계_예산및결산_20260422104615.xls,ok,False,0000102,True,True,processed_csv_candidate_not_raw_verified,98765.04146179403
2008,183,삼육대학교,대학,사립,서울,B그룹,59499974000,139935314,142064686,10000000,0,0,0,0,292000000,292000000,5587,52264.2,기본통계_예산및결산_20260422104615.xls,ok,False,0000116,True,False,processed_csv_candidate_not_raw_verified,52264.18471451584
2008,185,상명대학교,대학,사립,서울,A그룹,113655187273,373636537,273834854,16487460,243786553,0,0,58338300,966083704,966083704,15871,60871.0,기본통계_예산및결산_20260422104615.xls,ok,False,0000117,True,False,processed_csv_candidate_not_raw_verified,60871.00396950413
2008,188,서강대학교,대학,사립,서울,A그룹,134751945000,1109589800,386036091,5616200,651731627,0,0,70030282,2223004000,2223004000,14529,153004.6,기본통계_예산및결산_20260422104615.xls,ok,False,0000120,True,False,processed_csv_candidate_not_raw_verified,153004.61146672172
2008,189,서경대학교,대학,사립,서울,B그룹,63069381000,90888380,48417100,2711030,45000000,0,0,0,187016510,187016510,6355,29428.2,기본통계_예산및결산_20260422104615.xls,ok,False,0000121,True,True,processed_csv_candidate_not_raw_verified,29428.24704956727
2008,196,서울기독대학교,대학,사립,서울,C그룹,0,0,0,0,0,0,0,0,0,0,0,,기본통계_예산및결산_20260422104615.xls,not_calculable_zero_denominator,False,0000098,True,False,processed_csv_candidate_not_raw_verified,
2008,209,서울여자대학교,대학,사립,서울,B그룹,89145237214,328922220,220000000,11556167,134090833,0,0,28353000,722922220,722922220,7885,91683.2,기본통계_예산및결산_20260422104615.xls,ok,False,0000126,True,True,processed_csv_candidate_not_raw_verified,91683.22384273937
2008,213,서울한영대학교,대학,사립,서울,C그룹,7128557815,10893400,11172660,231900,2825000,0,0,0,25122960,25122960,979,25661.9,기본통계_예산및결산_20260422104615.xls,ok,False,0000205,True,False,processed_csv_candidate_not_raw_verified,25661.859039836567
2008,223,성공회대학교,대학,사립,서울,C그룹,20540000000,90000000,105901500,7010000,43170000,0,0,10000000,256081500,256081500,2575,99449.1,기본통계_예산및결산_20260422104615.xls,ok,False,0000132,True,False,processed_csv_candidate_not_raw_verified,99449.12621359223
2008,224,성균관대학교,대학,사립,서울,A그룹,428030430000,2047432000,1010387000,175334000,1246316000,0,0,0,4479469000,4479469000,23347,191864.9,기본통계_예산및결산_20260422104615.xls,ok,False,0000133,True,False,processed_csv_candidate_not_raw_verified,191864.86486486485
2008,227,성신여자대학교,대학,사립,서울,A그룹,132659308000,387000000,133658120,45000000,233775880,0,0,35000000,834434000,834434000,10545,79130.8,기본통계_예산및결산_20260422104615.xls,ok,False,0000136,True,True,processed_csv_candidate_not_raw_verified,79130.7728781413
2008,233,세종대학교,대학,사립,서울,A그룹,116348021000,606000000,372980000,19500000,530000000,0,0,32000000,1560480000,1560480000,11300,138095.6,기본통계_예산및결산_20260422104615.xls,ok,False,0000138,True,True,processed_csv_candidate_not_raw_verified,138095.57522123895
2008,244,숙명여자대학교,대학,사립,서울,A그룹,163007327000,699050000,559798000,42000000,727242000,0,0,15500000,2043590000,2043590000,13352,153055.0,기본통계_예산및결산_20260422104615.xls,ok,False,0000141,True,True,processed_csv_candidate_not_raw_verified,153054.97303774714
2008,249,숭실대학교,대학,사립,서울,A그룹,168430062000,1152324923,197513888,36921723,374612686,0,0,0,1761373220,1761373220,19471,90461.4,기본통계_예산및결산_20260422104615.xls,ok,False,0000143,True,True,processed_csv_candidate_not_raw_verified,90461.36407991372
2008,269,연세대학교,대학,사립,서울,A그룹,693629000000,1156923453,1590741280,96356000,2308160331,0,0,156264168,5308445232,5308445232,27499,193041.4,기본통계_예산및결산_20260422104615.xls,ok,False,0000149,True,False,processed_csv_candidate_not_raw_verified,193041.39175970035
2008,304,이화여자대학교,대학,사립,서울,A그룹,0,1204828000,1326677000,53311000,682609000,0,0,0,3267425000,3267425000,20983,155717.7,기본통계_예산및결산_20260422104615.xls,ok,False,0000163,True,True,processed_csv_candidate_not_raw_verified,155717.72387170568
2008,313,장로회신학대학교,대학,사립,서울,C그룹,280006090000,136945700,43984689,3166970,24238720,0,0,0,208336079,208336079,2760,75484.1,기본통계_예산및결산_20260422104615.xls,ok,False,0000170,True,False,processed_csv_candidate_not_raw_verified,75484.0865942029
