reference_year,survey_round,school_code,campus_type,university_name,field_category,school_type,region_name,founding_type,source_file_name,교원확보율(전임교원)(편제정원),교원확보율(전임교원)(재학생),교원확보율(겸임포함)(편제정원),교원확보율(겸임포함)(재학생),교원확보율(초빙포함)(편제정원),교원확보율(초빙포함)(재학생),겸임교원확보율(편제정원),겸임교원확보율(재학생),겸임교원확보율(편제정원_최종),겸임교원확보율(재학생_최종)
2015,201501,53001000,,가야대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53001000,,가야대학교 본교,소계,,,,2015년교원확보율.xlsx,70.5,74.81,72.66,77.1,72.66,77.1,2.16,2.29,0.648,0.687
2015,201501,53001000,,가야대학교 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53001000,,가야대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53001000,,가야대학교 본교,인문사회,,,,2015년교원확보율.xlsx,94.64,101.92,94.64,101.92,94.64,101.92,0.0,0.0,0.0,0.0
2015,201501,53001000,,가야대학교 본교,자연과학,,,,2015년교원확보율.xlsx,54.22,56.96,57.83,60.76,57.83,60.76,3.61,3.8,1.083,1.14
2015,201501,53001000,,가야대학교 본교,총계,,,,2015년교원확보율.xlsx,70.5,74.81,72.66,77.1,72.66,77.1,2.16,2.29,0.648,0.687
2015,201501,53013000,,가천대학교 본교,공학,,,,2015년교원확보율.xlsx,65.96,58.57,80.35,71.34,80.35,71.34,14.39,12.77,4.0,3.831
2015,201501,53013000,,가천대학교 본교,소계,,,,2015년교원확보율.xlsx,76.41,66.77,88.15,77.23,90.49,79.28,11.74,10.46,3.522,3.138
2015,201501,53013000,,가천대학교 본교,예체능,,,,2015년교원확보율.xlsx,57.89,51.89,75.79,69.81,76.84,70.75,17.9,17.92,4.0,4.0
2015,201501,53013000,,가천대학교 본교,의학,,,,2015년교원확보율.xlsx,269.44,277.14,277.78,285.71,277.78,285.71,8.34,8.57,2.502,2.571
2015,201501,53013000,,가천대학교 본교,인문사회,,,,2015년교원확보율.xlsx,77.93,64.54,86.96,72.02,93.31,77.29,9.03,7.48,2.709,2.244
2015,201501,53013000,,가천대학교 본교,자연과학,,,,2015년교원확보율.xlsx,101.16,93.58,109.83,101.6,109.83,101.6,8.67,8.02,2.601,2.406
2015,201501,53013000,,가천대학교 본교,총계,,,,2015년교원확보율.xlsx,91.45,80.86,102.92,91.2,105.09,93.11,11.47,10.34,3.441,3.102
2015,201501,53020000,,가톨릭관동대학교 본교,공학,,,,2015년교원확보율.xlsx,64.0,71.91,79.0,88.76,79.0,88.76,15.0,16.85,4.0,4.0
2015,201501,53020000,,가톨릭관동대학교 본교,소계,,,,2015년교원확보율.xlsx,73.61,78.86,79.82,85.51,79.82,85.51,6.21,6.65,1.863,1.995
2015,201501,53020000,,가톨릭관동대학교 본교,예체능,,,,2015년교원확보율.xlsx,63.08,75.93,67.69,81.48,67.69,81.48,4.61,5.55,1.383,1.665
2015,201501,53020000,,가톨릭관동대학교 본교,의학,,,,2015년교원확보율.xlsx,371.88,371.88,371.88,371.88,371.88,371.88,0.0,0.0,0.0,0.0
2015,201501,53020000,,가톨릭관동대학교 본교,인문사회,,,,2015년교원확보율.xlsx,67.86,70.95,71.43,74.69,71.43,74.69,3.57,3.74,1.071,1.122
2015,201501,53020000,,가톨릭관동대학교 본교,자연과학,,,,2015년교원확보율.xlsx,164.71,151.35,167.65,154.05,167.65,154.05,2.94,2.7,0.882,0.81
2015,201501,53020000,,가톨릭관동대학교 본교,총계,,,,2015년교원확보율.xlsx,93.37,99.56,99.17,105.74,99.17,105.74,5.8,6.18,1.74,1.854
2015,201501,53003000,,가톨릭대학교 본교,공학,,,,2015년교원확보율.xlsx,60.29,51.9,61.76,53.16,61.76,53.16,1.47,1.26,0.441,0.378
2015,201501,53003000,,가톨릭대학교 본교,소계,,,,2015년교원확보율.xlsx,79.69,76.2,81.22,77.66,86.24,82.46,1.53,1.46,0.459,0.438
2015,201501,53003000,,가톨릭대학교 본교,예체능,,,,2015년교원확보율.xlsx,42.86,46.15,57.14,61.54,57.14,61.54,14.28,15.39,4.0,4.0
2015,201501,53003000,,가톨릭대학교 본교,의학,,,,2015년교원확보율.xlsx,392.46,424.46,392.46,424.46,392.46,424.46,0.0,0.0,0.0,0.0
2015,201501,53003000,,가톨릭대학교 본교,인문사회,,,,2015년교원확보율.xlsx,71.9,72.8,72.73,73.64,81.4,82.43,0.83,0.84,0.249,0.252
2015,201501,53003000,,가톨릭대학교 본교,자연과학,,,,2015년교원확보율.xlsx,107.46,97.3,108.96,98.65,110.45,100.0,1.5,1.35,0.45,0.405
2015,201501,53003000,,가톨릭대학교 본교,총계,,,,2015년교원확보율.xlsx,174.43,172.85,175.49,173.91,179.0,177.38,1.06,1.06,0.318,0.318
2015,201501,53004000,,감리교신학대학교 본교,공학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53004000,,감리교신학대학교 본교,소계,,,,2015년교원확보율.xlsx,39.44,36.84,39.44,36.84,39.44,36.84,0.0,0.0,0.0,0.0
2015,201501,53004000,,감리교신학대학교 본교,예체능,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53004000,,감리교신학대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53004000,,감리교신학대학교 본교,인문사회,,,,2015년교원확보율.xlsx,39.44,36.84,39.44,36.84,39.44,36.84,0.0,0.0,0.0,0.0
2015,201501,53004000,,감리교신학대학교 본교,자연과학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53004000,,감리교신학대학교 본교,총계,,,,2015년교원확보율.xlsx,39.44,36.84,39.44,36.84,39.44,36.84,0.0,0.0,0.0,0.0
2015,201501,53005000,,강남대학교 본교,공학,,,,2015년교원확보율.xlsx,52.94,51.92,56.86,55.77,58.82,57.69,3.92,3.85,1.176,1.155
2015,201501,53005000,,강남대학교 본교,소계,,,,2015년교원확보율.xlsx,73.5,69.14,79.5,75.07,81.39,76.85,6.0,5.93,1.8,1.779
2015,201501,53005000,,강남대학교 본교,예체능,,,,2015년교원확보율.xlsx,70.59,68.57,88.24,88.57,88.24,88.57,17.65,20.0,4.0,4.0
2015,201501,53005000,,강남대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53005000,,강남대학교 본교,인문사회,,,,2015년교원확보율.xlsx,78.79,73.09,83.55,77.51,85.71,79.52,4.76,4.42,1.428,1.326
2015,201501,53005000,,강남대학교 본교,자연과학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53005000,,강남대학교 본교,총계,,,,2015년교원확보율.xlsx,73.5,69.14,79.5,75.07,81.39,76.85,6.0,5.93,1.8,1.779
2015,201501,51001000,,강릉원주대학교 본교,공학,,,,2015년교원확보율.xlsx,82.05,82.76,82.91,83.62,83.76,84.48,0.86,0.86,0.258,0.258
2015,201501,51001000,,강릉원주대학교 본교,소계,,,,2015년교원확보율.xlsx,78.37,81.6,80.47,83.78,83.95,87.41,2.1,2.18,0.63,0.654
2015,201501,51001000,,강릉원주대학교 본교,예체능,,,,2015년교원확보율.xlsx,60.87,68.29,69.57,78.05,69.57,78.05,8.7,9.76,2.61,2.928
2015,201501,51001000,,강릉원주대학교 본교,의학,,,,2015년교원확보율.xlsx,140.0,135.48,140.0,135.48,140.0,135.48,0.0,0.0,0.0,0.0
2015,201501,51001000,,강릉원주대학교 본교,인문사회,,,,2015년교원확보율.xlsx,89.39,91.47,89.39,91.47,100.0,102.33,0.0,0.0,0.0,0.0
2015,201501,51001000,,강릉원주대학교 본교,자연과학,,,,2015년교원확보율.xlsx,70.37,74.8,73.33,77.95,73.33,77.95,2.96,3.15,0.888,0.945
2015,201501,51001000,,강릉원주대학교 본교,총계,,,,2015년교원확보율.xlsx,82.39,85.36,84.35,87.39,87.61,90.77,1.96,2.03,0.588,0.609
2015,201501,51002000,,강원대학교 본교,공학,,,,2015년교원확보율.xlsx,63.14,62.43,67.14,66.38,68.0,67.23,4.0,3.95,1.2,1.185
2015,201501,51002000,,강원대학교 본교,소계,,,,2015년교원확보율.xlsx,73.17,71.94,74.81,73.54,76.96,75.66,1.64,1.6,0.492,0.48
2015,201501,51002000,,강원대학교 본교,예체능,,,,2015년교원확보율.xlsx,50.0,52.04,51.96,54.08,51.96,54.08,1.96,2.04,0.588,0.612
2015,201501,51002000,,강원대학교 본교,의학,,,,2015년교원확보율.xlsx,151.55,136.11,151.55,136.11,151.55,136.11,0.0,0.0,0.0,0.0
2015,201501,51002000,,강원대학교 본교,인문사회,,,,2015년교원확보율.xlsx,89.58,85.4,90.23,86.02,97.39,92.86,0.65,0.62,0.195,0.186
2015,201501,51002000,,강원대학교 본교,자연과학,,,,2015년교원확보율.xlsx,75.25,74.33,75.5,74.57,75.5,74.57,0.25,0.24,0.075,0.072
2015,201501,51002000,,강원대학교 본교,총계,,,,2015년교원확보율.xlsx,79.21,77.3,80.71,78.78,82.7,80.71,1.5,1.48,0.45,0.444
2015,201501,53006000,,건국대학교 본교,공학,,,,2015년교원확보율.xlsx,73.31,62.91,80.51,69.09,80.51,69.09,7.2,6.18,2.16,1.854
2015,201501,53006000,,건국대학교 본교,소계,,,,2015년교원확보율.xlsx,80.14,70.5,87.63,77.09,87.63,77.09,7.49,6.59,2.247,1.977
2015,201501,53006000,,건국대학교 본교,예체능,,,,2015년교원확보율.xlsx,50.98,47.71,65.69,61.47,65.69,61.47,14.71,13.76,4.0,4.0
2015,201501,53006000,,건국대학교 본교,의학,,,,2015년교원확보율.xlsx,44.44,37.65,50.0,42.35,50.0,42.35,5.56,4.7,1.668,1.41
2015,201501,53006000,,건국대학교 본교,인문사회,,,,2015년교원확보율.xlsx,93.75,77.92,101.88,84.68,101.88,84.68,8.13,6.76,2.439,2.028
2015,201501,53006000,,건국대학교 본교,자연과학,,,,2015년교원확보율.xlsx,81.42,79.68,84.15,82.35,84.15,82.35,2.73,2.67,0.819,0.801
2015,201501,53006000,,건국대학교 본교,총계,,,,2015년교원확보율.xlsx,77.33,67.82,84.67,74.26,84.67,74.26,7.34,6.44,2.202,1.932
2015,201501,53006000,,건국대학교 분교1,공학,,,,2015년교원확보율.xlsx,65.31,57.14,65.31,57.14,65.31,57.14,0.0,0.0,0.0,0.0
2015,201501,53006000,,건국대학교 분교1,소계,,,,2015년교원확보율.xlsx,80.97,70.02,91.76,79.36,91.76,79.36,10.79,9.34,3.237,2.802
2015,201501,53006000,,건국대학교 분교1,예체능,,,,2015년교원확보율.xlsx,55.17,51.06,74.71,69.15,74.71,69.15,19.54,18.09,4.0,4.0
2015,201501,53006000,,건국대학교 분교1,의학,,,,2015년교원확보율.xlsx,492.86,492.86,492.86,492.86,492.86,492.86,0.0,0.0,0.0,0.0
2015,201501,53006000,,건국대학교 분교1,인문사회,,,,2015년교원확보율.xlsx,72.14,59.76,84.29,69.82,84.29,69.82,12.15,10.06,3.645,3.018
2015,201501,53006000,,건국대학교 분교1,자연과학,,,,2015년교원확보율.xlsx,136.84,118.18,142.11,122.73,142.11,122.73,5.27,4.55,1.581,1.365
2015,201501,53006000,,건국대학교 분교1,총계,,,,2015년교원확보율.xlsx,124.87,109.58,134.52,118.04,134.52,118.04,9.65,8.46,2.895,2.538
2015,201501,53007000,,건양대학교 본교,공학,,,,2015년교원확보율.xlsx,80.95,76.4,82.14,77.53,84.52,79.78,1.19,1.13,0.357,0.339
2015,201501,53007000,,건양대학교 본교,소계,,,,2015년교원확보율.xlsx,77.63,72.36,81.13,75.88,88.68,83.42,3.5,3.52,1.05,1.056
2015,201501,53007000,,건양대학교 본교,예체능,,,,2015년교원확보율.xlsx,62.5,55.56,62.5,55.56,62.5,55.56,0.0,0.0,0.0,0.0
2015,201501,53007000,,건양대학교 본교,의학,,,,2015년교원확보율.xlsx,313.51,269.77,313.51,269.77,313.51,269.77,0.0,0.0,0.0,0.0
2015,201501,53007000,,건양대학교 본교,인문사회,,,,2015년교원확보율.xlsx,86.01,78.85,90.21,83.33,102.8,95.51,4.2,4.48,1.26,1.344
2015,201501,53007000,,건양대학교 본교,자연과학,,,,2015년교원확보율.xlsx,67.65,63.89,72.06,68.06,77.94,74.31,4.41,4.17,1.323,1.251
2015,201501,53007000,,건양대학교 본교,총계,,,,2015년교원확보율.xlsx,99.02,91.61,102.21,94.78,109.07,101.59,3.19,3.17,0.957,0.951
2015,201501,53008000,,경기대학교 본교,공학,,,,2015년교원확보율.xlsx,58.82,55.56,73.2,69.14,77.12,72.84,14.38,13.58,4.0,4.0
2015,201501,53008000,,경기대학교 본교,소계,,,,2015년교원확보율.xlsx,71.29,65.56,77.25,71.05,86.13,79.21,5.96,5.49,1.788,1.647
2015,201501,53008000,,경기대학교 본교,예체능,,,,2015년교원확보율.xlsx,64.35,64.35,69.57,69.57,76.52,76.52,5.22,5.22,1.566,1.566
2015,201501,53008000,,경기대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,53008000,,경기대학교 본교,인문사회,,,,2015년교원확보율.xlsx,79.47,69.63,82.93,72.66,94.13,82.48,3.46,3.03,1.038,0.909
2015,201501,53008000,,경기대학교 본교,자연과학,,,,2015년교원확보율.xlsx,66.67,65.82,69.23,68.35,79.49,78.48,2.56,2.53,0.768,0.759
2015,201501,53008000,,경기대학교 본교,총계,,,,2015년교원확보율.xlsx,71.29,65.56,77.25,71.05,86.13,79.21,5.96,5.49,1.788,1.647
2015,201501,51026000,,경남과학기술대학교 본교,공학,,,,2015년교원확보율.xlsx,58.87,74.49,66.13,83.67,66.13,83.67,7.26,9.18,2.178,2.754
2015,201501,51026000,,경남과학기술대학교 본교,소계,,,,2015년교원확보율.xlsx,61.92,73.11,65.12,76.89,65.12,76.89,3.2,3.78,0.96,1.134
2015,201501,51026000,,경남과학기술대학교 본교,예체능,,,,2015년교원확보율.xlsx,71.43,83.33,71.43,83.33,71.43,83.33,0.0,0.0,0.0,0.0
2015,201501,51026000,,경남과학기술대학교 본교,의학,,,,2015년교원확보율.xlsx,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015,201501,51026000,,경남과학기술대학교 본교,인문사회,,,,2015년교원확보율.xlsx,61.11,66.67,61.11,66.67,61.11,66.67,0.0,0.0,0.0,0.0
