reference_year,survey_round,school_code,campus_type,university_name,field_category,school_type,region_name,founding_type,source_file_name,교원확보율(전임교원)(편제정원),교원확보율(전임교원)(재학생),교원확보율(겸임포함)(편제정원),교원확보율(겸임포함)(재학생),교원확보율(초빙포함)(편제정원),교원확보율(초빙포함)(재학생),겸임교원확보율(편제정원),겸임교원확보율(재학생),겸임교원확보율(편제정원_최종),겸임교원확보율(재학생_최종)
2015,201501,53001000,,가야대학교 본교,총계,,,,2015년교원확보율.xlsx,70.5,74.81,72.66,77.1,72.66,77.1,2.16,2.29,0.648,0.687
2015,201501,53013000,,가천대학교 본교,총계,,,,2015년교원확보율.xlsx,91.45,80.86,102.92,91.2,105.09,93.11,11.47,10.34,3.441,3.102
2015,201501,53020000,,가톨릭관동대학교 본교,총계,,,,2015년교원확보율.xlsx,93.37,99.56,99.17,105.74,99.17,105.74,5.8,6.18,1.74,1.854
2015,201501,53003000,,가톨릭대학교 본교,총계,,,,2015년교원확보율.xlsx,174.43,172.85,175.49,173.91,179.0,177.38,1.06,1.06,0.318,0.318
2015,201501,53004000,,감리교신학대학교 본교,총계,,,,2015년교원확보율.xlsx,39.44,36.84,39.44,36.84,39.44,36.84,0.0,0.0,0.0,0.0
2015,201501,53005000,,강남대학교 본교,총계,,,,2015년교원확보율.xlsx,73.5,69.14,79.5,75.07,81.39,76.85,6.0,5.93,1.8,1.779
2015,201501,51001000,,강릉원주대학교 본교,총계,,,,2015년교원확보율.xlsx,82.39,85.36,84.35,87.39,87.61,90.77,1.96,2.03,0.588,0.609
2015,201501,51002000,,강원대학교 본교,총계,,,,2015년교원확보율.xlsx,79.21,77.3,80.71,78.78,82.7,80.71,1.5,1.48,0.45,0.444
2015,201501,53006000,,건국대학교 본교,총계,,,,2015년교원확보율.xlsx,77.33,67.82,84.67,74.26,84.67,74.26,7.34,6.44,2.202,1.932
2015,201501,53006000,,건국대학교 분교1,총계,,,,2015년교원확보율.xlsx,124.87,109.58,134.52,118.04,134.52,118.04,9.65,8.46,2.895,2.538
2015,201501,53007000,,건양대학교 본교,총계,,,,2015년교원확보율.xlsx,99.02,91.61,102.21,94.78,109.07,101.59,3.19,3.17,0.957,0.951
