reference_year,university_name,school_type,founding_type,region_name,school_status,lecturer_category,payment_category,paid_lecturer_count,시간당 지급기준 단가(원),총 강의시간 수,지급인원비율(%)
2023,가야대학교(김해),대학교,사립,경남,기존,강사,주간,97,"52,000","5,205",100.0
2023,가천대학교,대학교,사립,경기,기존,강사,주간,22,"112,000",435,2.8
2023,가천대학교,대학교,사립,경기,기존,강사,주간,2,"115,000",60,0.3
2023,가천대학교,대학교,사립,경기,기존,강사,주간,6,"138,000",90,0.8
2023,가천대학교,대학교,사립,경기,기존,강사,주간,7,"140,000",210,0.9
2023,가천대학교,대학교,사립,경기,기존,강사,주간,4,"168,000",60,0.5
2023,가천대학교,대학교,사립,경기,기존,강사,주간,1,"18,400",15,0.1
2023,가천대학교,대학교,사립,경기,기존,강사,주간,3,"224,000",90,0.4
2023,가천대학교,대학교,사립,경기,기존,강사,주간,5,"23,000",150,0.6
2023,가천대학교,대학교,사립,경기,기존,강사,주간,1,"230,000",15,0.1
2023,가천대학교,대학교,사립,경기,기존,강사,주간,4,"28,000",120,0.5
2023,가천대학교,대학교,사립,경기,기존,강사,주간,247,"46,000","8,910",31.8
2023,가천대학교,대학교,사립,경기,기존,강사,주간,1,"50,600",15,0.1
2023,가천대학교,대학교,사립,경기,기존,강사,주간,3,"55,200",105,0.4
2023,가천대학교,대학교,사립,경기,기존,강사,주간,435,"56,000","16,230",56.0
2023,가천대학교,대학교,사립,경기,기존,강사,주간,5,"58,267",225,0.6
2023,가천대학교,대학교,사립,경기,기존,강사,주간,2,"59,800",30,0.3
2023,가천대학교,대학교,사립,경기,기존,강사,주간,1,"67,200",45,0.1
2023,가천대학교,대학교,사립,경기,기존,강사,주간,2,"84,000",75,0.3
2023,가천대학교,대학교,사립,경기,기존,강사,주간,1,"9,200",15,0.1
2023,가천대학교,대학교,사립,경기,기존,강사,주간,24,"92,000",360,3.1
2023,가천대학교,대학교,사립,경기,기존,강사,주간,1,"98,000",30,0.1
2023,가톨릭관동대학교,대학교,사립,강원,기존,강사,주간,5,"40,500",330,8.6
2023,가톨릭관동대학교,대학교,사립,강원,기존,강사,주간,53,"54,000","1,912.5",91.4
2023,가톨릭꽃동네대학교,대학교,사립,충북,기존,강사,주간,9,"57,000",270,27.3
2023,가톨릭꽃동네대학교,대학교,사립,충북,기존,강사,주간,1,"61,000",30,3.0
