공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url
2026,0000579,0000579,ICT폴리텍대학,본교,전문대학,기능대학,사립,경기,기존,160,260,2.1,83.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002748,0002749,가야대학교(고령),제2캠퍼스,대학,대학교,사립,경북,기존,0,0,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002748,0002748,가야대학교(김해),본교,대학,대학교,사립,경남,기존,405,1610,5.2,95.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000063,0000063,가천대학교,본교,대학,대학교,사립,경기,기존,4071,22520,22.9,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000072,0000072,가톨릭관동대학교,본교,대학,대학교,사립,강원,기존,1815,5229,4.9,82.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000215,0000215,가톨릭꽃동네대학교,본교,대학,대학교,사립,충북,기존,108,418,5.3,96.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000046,0000049,가톨릭대학교,제3캠퍼스,대학,대학교,사립,서울,기존,50,197,1.7,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000046,0000048,가톨릭대학교,제2캠퍼스,대학,대학교,사립,서울,기존,173,912,29.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000046,0000046,가톨릭대학교,본교,대학,대학교,사립,경기,기존,1574,7843,15.6,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000410,0000410,가톨릭상지대학교,본교,전문대학,전문대학,사립,경북,기존,516,1732,3.8,94.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000050,0000050,감리교신학대학교,본교,대학,대학교,사립,서울,기존,192,564,1.9,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000051,0000051,강남대학교,본교,대학,대학교,사립,경기,기존,1491,6522,8.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000433,0000433,강동대학교,본교,전문대학,전문대학,사립,충북,기존,1191,3376,3.2,95.3,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000514,0000514,강릉영동대학교,본교,전문대학,전문대학,사립,강원,기존,774,3144,2.7,83.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000079,0000079,강서대학교,본교,대학,대학교,사립,서울,기존,277,1742,10.4,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000548,0000548,강원관광대학교,본교,전문대학,전문대학,사립,강원,폐교,0,0,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000003,0003364,강원대학교,제4캠퍼스,대학,대학교,국립,강원,신설,0,0,0,0.0,-,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000003,0000003,강원대학교,본교,대학,대학교,국립,강원,기존,3197,14157,9.3,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000003,0000004,강원대학교,제2캠퍼스,대학,대학교,국립,강원,기존,1309,4817,5.3,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000003,0003363,강원대학교,제3캠퍼스,대학,대학교,국립,강원,신설,0,0,0,0.0,-,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0002639,0002639,강원도립대학교,본교,전문대학,전문대학,공립,강원,기존,314,583,3.1,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000663,0000663,개신대학원대학교,본교,대학원대학,전문대학원,사립,서울,기존,40,273,-,105.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000412,0000412,거제대학교,본교,전문대학,전문대학,사립,경남,기존,357,1072,4.8,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000052,0000052,건국대학교,본교,대학,대학교,사립,서울,기존,3000,15960,21.7,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000052,0000053,건국대학교(글로컬),분교,대학,대학교,사립,충북,기존,1629,7190,10.8,99.9,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000643,0000643,건신대학원대학교,본교,대학원대학,전문대학원,사립,대전,기존,90,164,-,84.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000054,0000054,건양대학교,본교,대학,대학교,사립,충남,기존,667,2531,5.1,99.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000054,0000055,건양대학교,제2캠퍼스,대학,대학교,사립,대전,기존,1015,3841,6.8,99.8,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000335,0000335,건양사이버대학교,본교,대학,사이버대학(대학),사립,대전,기존,1068,4078,1.2,77.1,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000560,0000560,경기과학기술대학교,본교,전문대학,전문대학,사립,경기,기존,1330,3919,6.6,92.7,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000056,0000058,경기대학교,제2캠퍼스,대학,대학교,사립,서울,기존,328,1841,25.5,100.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000056,0000056,경기대학교,본교,대학,대학교,사립,경기,기존,2618,11891,13.1,99.4,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
2026,0000035,0000035,경남과학기술대학교,본교,대학,대학교,국립,경남,폐교,0,1285,0,0.0,2025,,대학주요정보 엔드포인트 미제공: StudentService API 또는 학생 현황 원자료 필요,https://www.academyinfo.go.kr/main/main2130/selectSchlList.do
