공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,지역명,학교상태,입학정원(학부),재학생수(학부),신입생경쟁률(학부),신입생충원율(학부),신입생충원율(학부)_기준년도,재학생충원율,재학생충원율_확보상태,raw_source_url,재학생충원율_기준시점,학생정원_raw29,학생모집정지인원_raw29,재학생수(학부)_raw29,정원내재학생수_raw29,정원내재학생충원율,입학정원(학부)_raw27,신입생충원율(학부)_raw27,신입생경쟁률(학부)_raw27,재학생수(학부)_raw31,정원내재학생수_raw31,정원외재학생수_raw31,재학생충원율_원자료파일
2026,0000579,0000579,ICT폴리텍대학,본교,전문대학,기능대학,사립,경기,기존,160,260,2.1,83.8,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0002748,0002749,가야대학교(고령),제2캠퍼스,대학,대학교,사립,경북,기존,0,0,0,0.0,2025,0.0,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,0.0,0.0,0.0,0.0,0.0,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0002748,0002748,가야대학교(김해),본교,대학,대학교,사립,경남,기존,405,1610,5.2,95.1,2025,91.2,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,1765.0,0.0,1610.0,1450.0,82.2,405.0,95.1,5.2,1610.0,1450.0,160.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000063,0000063,가천대학교,본교,대학,대학교,사립,경기,기존,4071,22520,22.9,100.0,2025,134.7,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,16724.0,0.0,22520.0,16522.0,98.8,4071.0,100.0,22.9,22520.0,16522.0,5998.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000072,0000072,가톨릭관동대학교,본교,대학,대학교,사립,강원,기존,1815,5229,4.9,82.7,2025,75.3,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,6945.0,0.0,5229.0,4778.0,68.8,1815.0,82.7,4.9,5229.0,4778.0,451.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000215,0000215,가톨릭꽃동네대학교,본교,대학,대학교,사립,충북,기존,108,418,5.3,96.4,2025,96.8,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,432.0,0.0,418.0,395.0,91.4,108.0,96.4,5.3,418.0,395.0,23.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000046,0000049,가톨릭대학교,제3캠퍼스,대학,대학교,사립,서울,기존,50,197,1.7,100.0,2025,98.5,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,200.0,0.0,197.0,189.0,94.5,50.0,100.0,1.7,197.0,189.0,8.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000046,0000048,가톨릭대학교,제2캠퍼스,대학,대학교,사립,서울,기존,173,912,29.4,100.0,2025,103.9,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,878.0,0.0,912.0,863.0,98.3,173.0,100.0,29.4,912.0,863.0,49.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000046,0000046,가톨릭대학교,본교,대학,대학교,사립,경기,기존,1574,7843,15.6,100.0,2025,124.6,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,6296.0,0.0,7843.0,6079.0,96.6,1574.0,100.0,15.6,7843.0,6079.0,1764.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000410,0000410,가톨릭상지대학교,본교,전문대학,전문대학,사립,경북,기존,516,1732,3.8,94.8,2025,,원자료 29번 매칭 실패,https://academyinfo.go.kr/main/main0830/main0830.do,,,,,,,,,,,,,academyinfo_2025_29_student_fill_school.xlsx
2026,0000050,0000050,감리교신학대학교,본교,대학,대학교,사립,서울,기존,192,564,1.9,100.0,2025,85.2,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,662.0,0.0,564.0,547.0,82.6,192.0,100.0,1.9,564.0,547.0,17.0,academyinfo_2025_29_student_fill_school.xlsx
2026,0000051,0000051,강남대학교,본교,대학,대학교,사립,경기,기존,1491,6522,8.4,100.0,2025,109.4,대학알리미 4-라-1 2025년 상반기 원자료 병합,https://academyinfo.go.kr/main/main0830/main0830.do,2025 년 상반기,5964.0,0.0,6522.0,5848.0,98.1,1491.0,100.0,8.4,6522.0,5848.0,674.0,academyinfo_2025_29_student_fill_school.xlsx
