공시연도,학교코드,학교명,psbs_div_cd,본분교명,schl_div_cd,대학구분,schl_knd_cd,학교종류,schl_estb_div_cd,설립유형,pbnf_area_cd,지역명,schl_cprt_cd,대표학교코드,schl_stat_cd,학교상태,신입생경쟁률(학부),신입생경쟁률(학부)_기준년도,gn_ie_fm_cn_re_unit,ge_et_re,ge_et_re_year,ge_et_re_unit,st_gn_sd_fm_tr_1_ps_py_st_ct,st_gn_sd_fm_tr_1_ps_py_st_ct_year,st_gn_sd_fm_tr_1_ps_py_st_ct_unit,학생1인당교육비,학생1인당교육비_기준년도,st_1_ps_py_et_unit,학생1인당도서자료수,학생1인당도서자료수_기준년도,st_1_ps_py_bk_ct_unit,학생1인당연간장학금(학부),학생1인당연간장학금(학부)_기준년도,st_1_ps_py_sp_unit,기숙사수용률,기숙사수용률_기준년도,be_ae_re_unit,fr_fd_ct,fr_fd_ct_year,fr_fd_ct_unit,평균등록금(학부),평균등록금(학부)_기준년도,ae_tn_unit,fm_tr_le_ce_re,fm_tr_le_ce_re_year,fm_tr_le_ce_re_unit,재학생수(학부),재학생수(학부)_기준년도,et_st_ct_unit,입학정원(학부),입학정원(학부)_기준년도,fm_el_gn_ct_unit,졸업생수(학부),졸업생수(학부)_기준년도,gn_mn_ct_unit,전임교원수(학부+대학원),전임교원수(학부+대학원)_기준년도,fr_fm_tr_sn_ct_unit,st_gn_sd_fm_tr_ee_re,st_gn_sd_fm_tr_ee_re_year,st_gn_sd_fm_tr_ee_re_unit,st_sd_fm_tr_ee_re,st_sd_fm_tr_ee_re_year,st_sd_fm_tr_ee_re_unit,신입생충원율(학부),신입생충원율(학부)_기준년도,gn_ie_fm_rt_re_unit
2026,0000579,ICT폴리텍대학,1,본교,01,전문대학,14,기능대학,3,사립,41,경기,00407,0000579,6,기존,2.1,2025,:1,68.0,2025,%,17.78,2025,명,31808.9,2025,천원,32.1,2025,권,2375089.9,2025,원,54.6,2025,%,2,2025,명,2500.0,2025,천원,83.5,2025,%,260,2025,명,160,2025,명,132,2025,명,18,2025,명,112.5,2025,%,138.46,2025,%,83.8,2025,%
2026,0002749,가야대학교(고령),A,제2캠퍼스,02,대학,03,대학교,3,사립,47,경북,00001,0002748,6,기존,0,2025,:1,0.0,2025,%,0.0,2025,명,0.0,2025,천원,0.0,2025,권,0,2025,원,0.0,2025,%,0,2025,명,0.0,2025,천원,0.0,2025,%,0,2025,명,0,2025,명,0,2025,명,0,2025,명,0.0,2025,%,0.0,2025,%,0.0,2025,%
2026,0002748,가야대학교(김해),1,본교,02,대학,03,대학교,3,사립,48,경남,00001,0002748,6,기존,5.2,2025,:1,74.2,2025,%,31.02,2025,명,14446.2,2025,천원,143.0,2025,권,4194323.9,2025,원,29.8,2025,%,12,2025,명,7239.3,2025,천원,72.2,2025,%,1610,2025,명,405,2025,명,444,2025,명,66,2025,명,68.04,2025,%,80.49,2025,%,95.1,2025,%
2026,0000063,가천대학교,1,본교,02,대학,03,대학교,3,사립,41,경기,00003,0000063,6,기존,22.9,2025,:1,66.5,2025,%,19.64,2025,명,15492.1,2025,천원,50.1,2025,권,3715314.3,2025,원,12.5,2025,%,4996,2025,명,8812.6,2025,천원,58.4,2025,%,22520,2025,명,4071,2025,명,4684,2025,명,995,2025,명,105.18,2025,%,79.28,2025,%,100.0,2025,%
2026,0000072,가톨릭관동대학교,1,본교,02,대학,03,대학교,3,사립,42,강원,00271,0000072,6,기존,4.9,2025,:1,62.1,2025,%,22.7,2025,명,16419.4,2025,천원,131.0,2025,권,4367692.3,2025,원,42.8,2025,%,157,2025,명,7505.4,2025,천원,76.9,2025,%,5229,2025,명,1815,2025,명,1423,2025,명,355,2025,명,94.16,2025,%,124.56,2025,%,82.7,2025,%
2026,0000215,가톨릭꽃동네대학교,1,본교,02,대학,03,대학교,3,사립,43,충북,00086,0000215,6,기존,5.3,2025,:1,74.7,2025,%,24.65,2025,명,19806.3,2025,천원,145.8,2025,권,5111042,2025,원,43.5,2025,%,2,2025,명,7506.3,2025,천원,71.2,2025,%,418,2025,명,108,2025,명,89,2025,명,23,2025,명,85.19,2025,%,95.83,2025,%,96.4,2025,%
2026,0000049,가톨릭대학교,B,제3캠퍼스,02,대학,03,대학교,3,사립,11,서울,00004,0000046,6,기존,1.7,2025,:1,0.0,2025,%,28.53,2025,명,0.0,2025,천원,0.0,2025,권,5957574,2025,원,113.8,2025,%,9,2025,명,6450.0,2025,천원,61.2,2025,%,197,2025,명,50,2025,명,31,2025,명,15,2025,명,83.33,2025,%,100.0,2025,%,100.0,2025,%
2026,0000048,가톨릭대학교,A,제2캠퍼스,02,대학,03,대학교,3,사립,11,서울,00004,0000046,6,기존,29.4,2025,:1,62.8,2025,%,2.73,2025,명,0.0,2025,천원,0.0,2025,권,3957854,2025,원,8.0,2025,%,0,2025,명,9728.3,2025,천원,75.0,2025,%,912,2025,명,173,2025,명,101,2025,명,1011,2025,명,495.59,2025,%,577.71,2025,%,100.0,2025,%
2026,0000046,가톨릭대학교,1,본교,02,대학,03,대학교,3,사립,41,경기,00004,0000046,6,기존,15.6,2025,:1,62.5,2025,%,30.93,2025,명,28497.0,2025,천원,105.9,2025,권,3530438.5,2025,원,21.4,2025,%,1665,2025,명,7493.6,2025,천원,55.9,2025,%,7843,2025,명,1574,2025,명,1439,2025,명,257,2025,명,72.39,2025,%,57.37,2025,%,100.0,2025,%
2026,0000410,가톨릭상지대학교,1,본교,01,전문대학,20,전문대학,3,사립,47,경북,00005,0000410,6,기존,3.8,2025,:1,80.7,2025,%,30.16,2025,명,13611.8,2025,천원,61.6,2025,권,4054755.8,2025,원,33.5,2025,%,102,2025,명,5932.2,2025,천원,47.1,2025,%,1732,2025,명,516,2025,명,635,2025,명,51,2025,명,67.11,2025,%,61.45,2025,%,94.8,2025,%
