공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),전임교원수,연구비(교내),연구비(교외),대응자금(교내),대응자금(교외),교내 합계,교외 합계,전임교원 1인당 연구비(교내),전임교원 1인당 연구비(교외)
2025,0000046,0000048,가톨릭대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,173,912,101,1011,3777040,140204751,0,0,3777040,140204751,3735.9,138679.3
2025,0000046,0000049,가톨릭대학교,제3캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,50,197,31,15,80000,0,0,0,80000,0,5333.3,0
2025,0000050,0000050,감리교신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,192,564,170,24,109500,20000,0,0,109500,20000,4562.5,833.3
2025,0000079,0000079,강서대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,277,1742,504,54,60149,257038,0,0,60149,257038,1113.9,4760
2025,0000052,0000052,건국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3000,15960,3410,657,5744475,83512595,481333,288900,6225808,83801495,9476.1,127551.7
2025,0000056,0000058,경기대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,328,1841,477,31,52883,153875,0,0,52883,153875,1705.9,4963.7
2025,0000066,0000066,경희대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4873,25573,5776,1395,14605633,166683251,2998224,563700,17603857,167246951,12619.3,119890.3
2025,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4142,21772,4206,1601,22181175,464860251,2189931,0,24371106,464860251,15222.4,290356.2
2025,0000074,0000074,광운대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1823,8414,1970,307,3058038,44745320,617210,100000,3675248,44845320,11971.5,146076
2025,0000078,0000078,국민대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2966,14502,3301,651,7091259,66915237,656774,230300,7748033,67145537,11901.7,103142.1
2025,0000099,0000099,덕성여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1215,5566,1203,197,154000,5771398,97740,0,251740,5771398,1277.9,29296.4
2025,0000100,0000100,동국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2836,13841,2987,686,3524488,84654246,2802186,372000,6326674,85026246,9222.6,123945
2025,0000102,0000102,동덕여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1577,6392,1634,214,209500,4149238,0,0,209500,4149238,979,19389
2025,0000109,0000111,명지대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,1263,7530,1970,249,148000,3063909,0,0,148000,3063909,594.4,12304.9
2025,0000116,0000116,삼육대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1157,5268,1284,190,256000,6379701,0,0,256000,6379701,1347.4,33577.4
2025,0000117,0000117,상명대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1302,6267,1393,246,446000,30085088,400000,48000,846000,30133088,3439,122492.2
2025,0000120,0000120,서강대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1602,8429,1736,410,4124850,69532414,1334677,117000,5459527,69649414,13315.9,169876.6
2025,0000121,0000121,서경대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1309,6864,1457,250,310643,19442169,44000,0,354643,19442169,1418.6,77768.7
2025,0000036,0000036,서울과학기술대학교,본교,대학,대학교,국공립,국립,수도권,서울,기존,2024,2227,10444,2230,430,4736372,55490271,284120,99553,5020492,55589824,11675.6,129278.7
2025,0000098,0000098,서울기독대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,136,1279,65,37,56000,99500,0,75000,56000,174500,1513.5,4716.2
2025,0000019,0000019,서울대학교,본교,대학,대학교,국공립,국립대법인,수도권,서울,기존,2024,3476,17279,3200,2369,38134856,665268757,343195,0,38478051,665268757,16242.3,280822.6
2025,0000040,0000040,서울시립대학교,본교,대학,대학교,국공립,공립,수도권,서울,기존,2024,1747,8949,1812,458,5900986,56593329,229170,297100,6130156,56890429,13384.6,124214.9
2025,0000126,0000126,서울여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1612,7692,1367,224,502843,4676116,0,0,502843,4676116,2244.8,20875.5
2025,0000205,0000205,서울한영대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,180,778,136,27,15000,0,0,0,15000,0,555.6,0
2025,0000132,0000132,성공회대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,502,2234,444,80,45600,853994,26000,0,71600,853994,895,10674.9
2025,0000133,0000133,성균관대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3555,19613,4256,1543,30555076,518911568,4814963,2283867,35370039,521195435,22922.9,337780.6
2025,0000136,0000136,성신여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2060,9404,1939,324,1218000,8184073,81000,0,1299000,8184073,4009.3,25259.5
2025,0000138,0000138,세종대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2564,13171,2616,590,1640551,83401522,3401752,0,5042303,83401522,8546.3,141358.5
2025,0000141,0000141,숙명여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2160,10134,2336,419,1226000,32151345,615602,45000,1841602,32196345,4395.2,76840.9
2025,0000143,0000143,숭실대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2675,14738,3021,528,4256861,36143460,709660,5000,4966521,36148460,9406.3,68463
2025,0000149,0000149,연세대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3555,21005,4461,1820,25183795,490528560,5031864,2632662,30215659,493161222,16602,270967.7
2025,0000163,0000163,이화여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3260,16452,3314,961,14111055,126426997,2417327,282208,16528382,126709205,17199.1,131851.4
2025,0000170,0000170,장로회신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,150,572,163,78,234495,264382,0,0,234495,264382,3006.3,3389.5
2025,0000175,0000175,중앙대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3210,18637,4079,1049,12820049,154643074,2990629,0,15810678,154643074,15072.1,147419.5
