공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),"전임
교원",논문실적 총계,논문실적(국내),"논문실적(국내, 연구재단등재지(후보포함))",논문실적(기타국내발간일반학술지),논문실적(국제),"논문실적(국제, SCI급/SCOPUS학술지)","논문실적(국제, 기타국제발간일반학술지)",전임교원1인당논문실적(국내),전임교원1인당논문실적(국제),"전임교원1인당논문실적(국내, 연구재단등재지(후보포함))","전임교원1인당논문실적(국제, SCI급/SCOPUS학술지)"
2025,0000046,0000049,가톨릭대학교,제3캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,50,197,31,15,21,21,20,1,0,0,0,1.4,0,1.3333,0
2025,0000046,0000048,가톨릭대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,173,912,101,1011,781.9032,68.9205,54.4797,14.4408,712.9827,705.173,7.8097,0.0682,0.7052,0.0539,0.6975
2025,0000050,0000050,감리교신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,192,564,170,24,32,32,17,15,0,0,0,1.3333,0,0.7083,0
2025,0000079,0000079,강서대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,277,1742,504,54,26.5584,21.6528,21.6528,0,4.9056,4.7945,0.1111,0.401,0.0908,0.401,0.0888
2025,0000052,0000052,건국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,3000,15960,3410,657,793.0025,374.0403,363.807,10.2333,418.9622,415.7599,3.2023,0.5693,0.6377,0.5537,0.6328
2025,0000056,0000058,경기대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,328,1841,477,31,32.4762,25.7,24.2,1.5,6.7762,6.5762,0.2,0.829,0.2186,0.7806,0.2121
2025,0000066,0000066,경희대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4873,25573,5776,1395,1622.3822,624.342,598.5135,25.8285,998.0402,978.8631,19.1771,0.4476,0.7154,0.429,0.7017
2025,0000069,0000069,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,4142,21772,4206,1601,1860.0103,500.974,475.6851,25.2889,1359.0363,1349.1166,9.9197,0.3129,0.8489,0.2971,0.8427
2025,0000074,0000074,광운대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1823,8414,1970,307,349.2328,171.2497,167.9164,3.3333,177.9831,168.1007,9.8824,0.5578,0.5797,0.547,0.5476
2025,0000078,0000078,국민대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2966,14502,3301,651,762.1322,475.5907,461.2685,14.3222,286.5415,267.8261,18.7154,0.7306,0.4402,0.7086,0.4114
2025,0000099,0000099,덕성여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1215,5566,1203,197,184.5294,135.4635,134.1778,1.2857,49.0659,47.5659,1.5,0.6876,0.2491,0.6811,0.2415
2025,0000100,0000100,동국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,2836,13841,2987,686,915.2286,440.24,432.1067,8.1333,474.9886,470.7765,4.2121,0.6417,0.6924,0.6299,0.6863
2025,0000102,0000102,동덕여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1577,6392,1634,214,154.6807,122.1162,112.5948,9.5214,32.5645,31.1645,1.4,0.5706,0.1522,0.5261,0.1456
2025,0000109,0000111,명지대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2024,1263,7530,1970,249,215.4714,189.4301,182.1301,7.3,26.0413,25.5413,0.5,0.7608,0.1046,0.7314,0.1026
2025,0000116,0000116,삼육대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1157,5268,1284,190,207.9105,134.7513,133.9227,0.8286,73.1592,71.7092,1.45,0.7092,0.385,0.7049,0.3774
2025,0000117,0000117,상명대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1302,6267,1393,246,278.3718,184.8768,180.5435,4.3333,93.495,88.8283,4.6667,0.7515,0.3801,0.7339,0.3611
2025,0000120,0000120,서강대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1602,8429,1736,410,365.5661,216.5102,214.0102,2.5,149.0559,140.0808,8.9751,0.5281,0.3636,0.522,0.3417
2025,0000121,0000121,서경대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,1309,6864,1457,250,154.9581,133.2319,132.2319,1,21.7262,20.6444,1.0818,0.5329,0.0869,0.5289,0.0826
2025,0000036,0000036,서울과학기술대학교,본교,대학,대학교,국공립,국립,수도권,서울,기존,2024,2227,10444,2230,430,493.2187,158.9043,155.671,3.2333,334.3144,330.2382,4.0762,0.3695,0.7775,0.362,0.768
2025,0000098,0000098,서울기독대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2024,136,1279,65,37,15.7929,15.65,15.65,0,0.1429,0.1429,0,0.423,0.0039,0.423,0.0039
2025,0000019,0000019,서울대학교,본교,대학,대학교,국공립,국립대법인,수도권,서울,기존,2024,3476,17279,3200,2369,2697.6149,726.4237,654.039,72.3847,1971.1912,1935.7675,35.4237,0.3066,0.8321,0.2761,0.8171
2025,0000040,0000040,서울시립대학교,본교,대학,대학교,국공립,공립,수도권,서울,기존,2024,1747,8949,1812,458,451.3508,245.6747,242.8164,2.8583,205.6761,199.8409,5.8352,0.5364,0.4491,0.5302,0.4363
