공시연도,대표학교코드,학교코드,학교명,본분교명,대학구분,학교종류,설립유형,설립구분,소재지유형,지역명,학교상태,기준년도,입학정원(학부),재학생수(학부),졸업생수(학부),전임교원(학생정원 기준),전임교원(재학생 기준),교원법정정원(학생정원 기준),교원법정정원(재학생기준),전임교원 확보율(학생정원 기준),전임교원 확보율(재학생 기준)
2025,46,49,가톨릭대학교,제3캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2025,50,197,31.0,15,15,18,15,83.33,100.0
2025,46,48,가톨릭대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2025,173,912,101.0,1011,1011,204,175,495.59,577.71
2025,50,50,감리교신학대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,192,564,170.0,24,24,67,62,35.82,38.71
2025,79,79,강서대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,277,1742,504.0,54,54,60,81,90.0,66.67
2025,52,52,건국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,3000,15960,3410.0,631,631,926,1068,68.14,59.08
2025,56,58,경기대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2025,328,1841,477.0,53,53,118,123,44.92,43.09
2025,66,66,경희대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,4873,25573,5776.0,1395,1395,1476,1812,94.51,76.99
2025,69,69,고려대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,4142,21772,4206.0,1601,1601,1450,1652,110.41,96.91
2025,74,74,광운대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1823,8414,1970.0,307,307,423,494,72.58,62.15
2025,78,78,국민대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,2966,14502,3301.0,651,651,738,898,88.21,72.49
2025,99,99,덕성여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1215,5566,1203.0,197,197,232,269,84.91,73.23
2025,100,100,동국대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,2836,13841,2987.0,686,686,770,921,89.09,74.48
2025,102,102,동덕여자대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1577,6392,1634.0,214,214,318,321,67.3,66.67
2025,109,111,명지대학교,제2캠퍼스,대학,대학교,사립,사립,수도권,서울,기존,2025,1263,7530,1970.0,250,250,331,402,75.53,62.19
2025,116,116,삼육대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1157,5268,1284.0,190,190,251,293,75.7,64.85
2025,117,117,상명대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1302,6267,1393.0,246,246,309,348,79.61,70.69
2025,120,120,서강대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1602,8429,1736.0,410,410,537,624,76.35,65.71
2025,121,121,서경대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,1309,6864,1457.0,250,250,275,357,90.91,70.03
2025,36,36,서울과학기술대학교,본교,대학,대학교,국공립,국립,수도권,서울,기존,2025,2227,10444,2230.0,430,430,537,636,80.07,67.61
2025,98,98,서울기독대학교,본교,대학,대학교,사립,사립,수도권,서울,기존,2025,136,1279,65.0,37,37,42,67,88.1,55.22
